dz_2021_code,type,age_0_4_years,age_10_14_years,age_15_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_5_9_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_plus_years
N20000001,NI data zone,50,44,43,43,35,42,41,56,52,75,53,44,50,44,32,18,13,8
N20000002,NI data zone,9,25,25,16,18,13,11,17,19,37,46,6,22,20,25,9,8,7
N20000003,NI data zone,17,23,21,31,14,24,12,20,22,24,27,14,26,28,20,13,10,13
N20000004,NI data zone,31,50,56,43,15,27,38,45,54,50,48,51,33,40,26,27,17,7
N20000005,NI data zone,29,49,40,49,31,37,33,33,46,61,58,31,46,42,38,22,14,14
N20000006,NI data zone,27,38,15,22,17,24,31,37,23,22,42,41,28,20,29,19,9,12
N20000007,NI data zone,31,71,78,56,59,38,40,59,54,80,77,48,47,39,38,27,19,15
N20000008,NI data zone,26,53,46,39,25,30,32,29,48,45,65,38,41,26,41,29,26,12
N20000009,NI data zone,20,35,37,19,10,12,22,21,44,41,29,23,19,20,15,14,10,9
N20000010,NI data zone,28,36,26,31,45,26,22,32,40,58,49,31,26,25,30,18,10,8
N20000011,NI data zone,26,39,30,39,38,36,34,28,32,36,37,43,17,34,28,16,8,3
N20000012,NI data zone,16,19,14,25,24,26,28,23,36,47,56,16,29,36,37,37,21,9
N20000013,NI data zone,12,20,28,27,16,12,8,20,29,45,25,14,24,24,24,23,23,28
N20000014,NI data zone,40,27,24,20,19,27,26,24,35,30,44,35,29,29,31,22,21,19
N20000015,NI data zone,40,50,33,25,43,41,45,38,29,38,33,40,45,33,20,20,12,5
N20000016,NI data zone,39,14,22,27,24,43,44,29,26,26,35,34,7,21,17,25,10,9
N20000017,NI data zone,43,57,49,40,37,61,50,37,37,49,38,38,37,32,27,21,8,7
N20000018,NI data zone,39,31,43,31,32,31,28,20,35,45,50,33,31,14,14,4,3,2
N20000019,NI data zone,13,8,16,22,24,34,26,20,21,25,25,17,24,16,15,30,26,29
N20000020,NI data zone,30,34,27,35,36,34,42,27,38,42,35,37,37,37,30,24,11,9
N20000021,NI data zone,32,48,30,26,30,44,40,41,49,42,38,44,28,14,11,14,5,6
N20000022,NI data zone,61,32,23,18,46,47,50,37,16,18,19,43,12,4,6,9,4,1
N20000023,NI data zone,38,31,28,25,30,36,37,22,23,32,46,27,49,20,17,28,10,7
N20000024,NI data zone,43,52,54,34,34,39,32,41,46,38,42,40,39,35,13,19,13,10
N20000025,NI data zone,27,57,26,17,19,28,29,48,47,21,16,54,13,6,2,1,0,0
N20000026,NI data zone,21,26,43,35,24,16,19,35,41,56,45,26,42,37,29,26,14,16
N20000027,NI data zone,69,67,27,13,21,66,68,69,39,29,12,62,4,3,7,2,3,0
N20000028,NI data zone,23,36,39,14,23,28,45,38,32,36,41,50,30,38,29,27,13,11
N20000029,NI data zone,26,37,39,25,37,35,31,25,38,29,66,38,39,32,27,11,13,5
N20000030,NI data zone,30,30,26,27,30,24,26,34,33,39,41,28,26,34,27,19,12,12
N20000031,NI data zone,22,24,22,35,32,31,27,18,38,58,63,26,44,24,20,22,15,9
N20000032,NI data zone,14,48,38,26,25,24,30,36,32,26,42,40,21,15,14,15,4,7
N20000033,NI data zone,29,44,22,39,32,32,42,35,29,35,33,38,50,24,20,14,9,3
N20000034,NI data zone,29,36,29,34,21,27,24,29,38,24,27,33,18,26,25,16,4,3
N20000035,NI data zone,49,61,54,33,38,44,48,60,71,57,40,54,19,25,7,6,3,1
N20000036,NI data zone,26,32,19,18,21,36,46,34,17,26,13,47,14,9,7,3,2,0
N20000037,NI data zone,35,48,33,20,21,34,40,29,24,33,15,41,22,12,6,3,4,1
N20000038,NI data zone,59,29,20,38,117,69,64,45,42,19,20,45,16,7,10,6,7,10
N20000039,NI data zone,18,19,34,18,17,26,34,32,31,36,36,17,38,45,38,24,18,9
N20000040,NI data zone,37,48,25,12,20,28,42,34,23,19,13,41,10,4,8,7,0,1
N20000041,NI data zone,49,80,71,51,45,56,63,64,93,80,61,61,44,38,31,25,9,11
N20000042,NI data zone,71,51,28,30,59,80,82,67,55,31,20,62,16,5,4,3,2,1
N20000043,NI data zone,77,95,42,41,65,66,105,93,64,33,14,92,14,13,5,5,3,1
N20000044,NI data zone,49,25,15,29,53,69,40,32,29,28,30,30,26,16,7,8,6,2
N20000045,NI data zone,25,33,19,23,26,31,21,22,29,62,43,21,28,12,22,17,17,13
N20000046,NI data zone,41,34,26,23,37,54,48,45,38,27,39,43,31,18,14,24,20,13
N20000047,NI data zone,25,27,22,24,34,34,24,43,42,37,23,31,23,21,19,28,18,40
N20000048,NI data zone,17,30,26,23,23,24,31,30,37,43,42,23,48,38,50,43,23,17
N20000049,NI data zone,15,22,35,32,26,33,36,49,44,36,44,20,30,40,32,21,18,18
N20000050,NI data zone,20,28,24,31,31,27,33,33,37,25,23,18,21,17,23,18,9,3
N20000051,NI data zone,40,26,34,30,28,39,45,30,23,31,27,45,19,32,20,12,10,1
N20000052,NI data zone,31,29,35,28,35,34,38,23,24,41,41,35,27,35,15,19,10,3
N20000053,NI data zone,18,30,24,24,17,21,39,29,31,24,34,33,23,19,24,12,6,8
N20000054,NI data zone,27,28,27,32,46,40,33,33,36,29,24,43,31,14,21,22,10,15
N20000055,NI data zone,20,24,22,25,26,13,21,22,24,21,22,26,17,17,17,9,5,2
N20000056,NI data zone,37,41,41,54,23,37,37,38,27,25,19,43,27,9,12,6,8,2
N20000057,NI data zone,29,20,22,27,35,35,36,20,31,20,43,20,42,28,28,13,15,8
N20000058,NI data zone,35,35,32,31,35,27,24,24,38,22,22,32,12,14,15,10,6,1
N20000059,NI data zone,17,31,22,31,26,25,39,27,27,21,30,31,28,23,18,9,5,3
N20000060,NI data zone,19,28,28,21,12,13,21,22,34,45,23,21,16,21,14,10,7,2
N20000061,NI data zone,21,27,32,24,20,15,26,29,35,28,24,26,15,18,18,10,10,4
N20000062,NI data zone,33,41,49,45,45,39,41,42,46,32,30,41,34,21,27,13,10,5
N20000063,NI data zone,16,9,6,26,31,31,26,21,34,24,27,15,21,19,22,13,6,6
N20000064,NI data zone,10,15,18,25,20,17,19,24,17,28,25,11,32,44,35,28,14,7
N20000065,NI data zone,25,28,14,21,19,21,19,18,31,23,30,24,36,32,50,42,32,17
N20000066,NI data zone,25,22,13,17,12,35,23,16,22,25,22,27,20,15,12,11,5,3
N20000067,NI data zone,41,42,38,32,30,52,34,38,29,31,24,59,16,20,19,10,5,1
N20000068,NI data zone,15,15,4,19,17,20,15,21,21,24,31,20,25,28,33,26,36,51
N20000069,NI data zone,32,33,28,20,26,19,45,36,44,42,41,32,21,11,15,13,2,3
N20000070,NI data zone,19,14,15,22,19,23,25,19,24,27,29,19,42,34,38,31,21,4
N20000071,NI data zone,21,27,14,18,27,18,31,22,18,42,27,23,17,12,12,4,1,1
N20000072,NI data zone,28,39,26,20,28,41,34,40,48,42,37,38,31,23,27,29,19,10
N20000073,NI data zone,22,35,26,22,33,38,33,27,39,24,31,31,20,23,21,27,20,12
N20000074,NI data zone,31,21,22,37,44,29,23,30,25,27,35,27,30,14,23,27,15,4
N20000075,NI data zone,31,33,29,22,25,27,47,41,58,32,22,28,9,12,9,4,3,1
N20000076,NI data zone,26,18,17,17,23,39,28,22,25,34,21,22,25,16,16,13,7,5
N20000077,NI data zone,13,16,10,20,19,20,19,25,22,32,28,10,10,15,15,15,13,7
N20000078,NI data zone,22,7,15,23,22,19,14,20,16,28,30,19,17,22,17,12,16,5
N20000079,NI data zone,36,28,22,24,22,29,31,28,28,25,36,19,13,13,12,10,10,6
N20000080,NI data zone,41,42,41,38,32,44,35,37,43,58,40,28,40,35,38,24,8,9
N20000081,NI data zone,20,18,19,18,29,16,22,18,30,25,17,27,11,14,15,14,10,11
N20000082,NI data zone,34,17,24,27,30,29,17,28,28,35,39,34,18,19,19,27,13,16
N20000083,NI data zone,10,9,12,10,10,17,13,23,26,25,22,8,17,15,19,16,8,9
N20000084,NI data zone,11,6,11,20,11,6,10,13,20,21,16,5,24,35,25,24,23,14
N20000085,NI data zone,28,49,43,39,38,28,45,55,56,59,36,40,30,16,20,6,2,5
N20000086,NI data zone,31,34,42,39,16,36,27,42,49,71,50,44,25,33,21,21,18,15
N20000087,NI data zone,26,21,28,19,10,22,22,22,33,48,29,27,42,32,31,19,20,16
N20000088,NI data zone,34,35,31,33,20,33,38,46,37,42,28,36,23,18,16,11,6,5
N20000089,NI data zone,53,52,33,35,39,40,50,53,41,51,44,40,37,38,28,28,9,9
N20000090,NI data zone,45,85,53,47,47,44,52,72,73,68,47,62,25,22,21,15,13,7
N20000091,NI data zone,39,33,26,35,39,44,47,43,36,38,30,38,29,13,9,7,3,1
N20000092,NI data zone,50,69,61,55,38,35,49,60,63,82,66,52,50,24,15,18,8,12
N20000093,NI data zone,12,28,28,24,28,20,21,21,24,27,29,27,33,24,17,28,16,6
N20000094,NI data zone,50,39,18,11,34,51,44,48,25,27,14,40,13,7,4,3,2,1
N20000095,NI data zone,37,36,16,23,32,29,26,22,26,27,21,41,21,13,7,9,5,3
N20000096,NI data zone,35,41,40,33,48,33,42,46,40,47,48,33,33,21,23,11,7,4
N20000097,NI data zone,21,25,26,25,25,36,24,25,35,30,41,24,50,41,46,45,30,25
N20000098,NI data zone,14,27,17,19,22,20,19,18,24,23,22,22,24,37,27,18,14,15
N20000099,NI data zone,21,36,23,24,29,26,22,24,34,39,42,26,29,22,25,20,13,13
N20000100,NI data zone,24,40,41,42,27,21,22,38,46,69,53,39,68,58,33,23,22,45
N20000101,NI data zone,17,40,54,31,16,22,24,29,46,72,36,27,13,12,10,6,4,3
N20000102,NI data zone,37,33,21,28,50,35,46,41,39,21,28,35,23,13,12,9,4,4
N20000103,NI data zone,7,12,18,20,25,13,17,21,27,30,19,16,27,16,26,19,18,20
N20000104,NI data zone,37,45,36,34,36,50,44,18,20,30,26,53,29,27,13,17,7,4
N20000105,NI data zone,28,21,11,21,45,33,37,29,25,22,18,30,21,18,23,9,4,9
N20000106,NI data zone,29,12,20,24,28,37,25,20,30,27,30,24,24,27,23,16,11,8
N20000107,NI data zone,18,31,14,30,29,27,31,34,25,39,30,27,19,17,5,13,8,6
N20000108,NI data zone,13,13,8,17,15,15,18,19,18,17,30,17,34,21,35,18,17,18
N20000109,NI data zone,29,34,43,23,22,31,31,25,45,48,49,35,36,28,41,18,11,4
N20000110,NI data zone,40,54,58,33,36,44,48,39,53,40,36,45,38,40,25,16,10,7
N20000111,NI data zone,22,37,20,25,23,28,24,25,31,36,52,28,42,40,30,29,22,42
N20000112,NI data zone,17,16,14,12,15,23,17,18,17,23,20,27,15,18,21,21,21,11
N20000113,NI data zone,15,33,31,19,36,33,28,28,29,28,18,24,21,17,14,20,5,4
N20000114,NI data zone,17,26,28,17,16,26,17,33,35,38,31,19,35,27,30,12,13,10
