dz_2021_code,type,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
N20000001,NI data zone,12,8,10,11,9,12,13,6,4,9,7,9,10,4,14,9,10,7,9,8,11,6,7,8,11,7,9,5,6,8,8,12,6,8,8,8,11,6,8,8,14,11,8,10,13,7,11,13,10,11,19,10,15,15,16,15,12,9,8,9,9,5,13,8,15,9,9,8,7,11,8,6,6,10,2,2,4,6,2,4,5,3,2,2,1,8
N20000002,NI data zone,3,0,2,3,1,1,2,1,0,2,7,3,8,2,5,4,7,3,6,5,3,4,1,6,2,5,4,5,2,2,3,5,1,3,1,0,1,1,5,4,1,5,2,6,3,2,5,2,6,4,7,8,9,6,7,5,12,6,7,16,4,7,4,4,3,3,3,5,5,4,7,4,7,3,4,2,1,1,2,3,0,2,2,2,2,7
N20000003,NI data zone,5,4,3,2,3,3,2,1,2,6,1,7,2,5,8,5,2,6,6,2,6,7,7,3,8,1,2,1,4,6,5,8,6,3,2,2,3,1,3,3,6,3,2,4,5,5,2,5,6,4,4,3,6,7,4,1,7,8,8,3,3,5,6,6,6,4,5,8,5,6,3,4,6,3,4,2,0,3,4,4,1,3,3,1,2,13
N20000004,NI data zone,2,7,6,6,10,9,9,8,13,12,9,13,11,7,10,11,11,16,10,8,12,11,8,4,8,5,4,2,3,1,7,6,4,5,5,9,6,7,8,8,15,9,6,6,9,14,9,7,11,13,11,14,10,8,7,10,14,10,5,9,13,5,6,4,5,5,11,7,10,7,6,3,10,5,2,4,7,8,4,4,2,5,3,4,3,7
N20000005,NI data zone,4,5,4,6,10,6,5,4,11,5,10,14,4,12,9,8,10,8,4,10,11,7,12,7,12,4,4,9,5,9,7,10,10,4,6,7,5,6,10,5,9,7,8,4,5,8,5,9,10,14,10,11,15,17,8,17,15,12,4,10,10,9,5,8,14,8,4,11,6,13,8,7,9,4,10,2,4,9,5,2,4,4,2,2,2,14
N20000006,NI data zone,7,3,9,5,3,11,9,7,7,7,13,4,9,7,5,6,3,5,1,0,3,2,3,5,9,4,3,5,4,1,5,3,0,7,9,9,4,4,9,5,7,9,7,5,9,5,4,3,5,6,6,2,1,4,9,13,7,12,3,7,7,2,7,8,4,4,3,4,4,5,2,10,6,6,5,3,6,3,5,2,1,2,2,4,0,12
N20000007,NI data zone,10,2,7,7,5,13,8,9,8,10,11,13,16,18,13,12,16,24,15,11,8,10,12,13,13,13,16,14,7,9,5,8,8,12,5,5,6,6,11,12,5,12,18,10,14,16,16,10,7,5,11,16,21,15,17,19,19,19,11,9,12,14,5,7,9,7,5,7,10,10,11,10,4,7,6,3,8,6,5,5,3,7,4,2,3,15
N20000008,NI data zone,5,3,8,6,4,9,4,7,8,10,10,8,13,9,13,14,9,11,7,5,8,10,6,8,7,7,3,5,4,6,7,5,6,4,8,8,6,9,4,5,7,5,4,10,3,10,10,9,7,12,9,8,10,9,9,8,14,15,20,8,9,12,7,4,9,6,11,2,5,2,3,10,11,5,12,4,10,6,1,8,5,6,3,7,5,12
N20000009,NI data zone,4,3,6,4,3,4,3,5,6,5,8,5,9,10,3,8,8,7,9,5,2,6,6,3,2,1,2,3,1,3,3,1,3,2,3,1,3,8,7,3,1,7,4,4,5,10,8,6,10,10,10,6,9,7,9,8,10,1,7,3,5,6,2,3,3,3,5,5,3,4,4,2,1,5,3,4,2,3,2,3,2,5,0,2,1,9
N20000010,NI data zone,6,3,7,6,6,5,4,9,3,10,6,8,6,9,7,8,5,3,7,3,9,6,7,6,3,8,9,11,3,14,8,5,6,3,4,2,7,2,7,4,8,8,2,8,6,10,4,5,15,6,5,20,10,15,8,12,17,8,6,6,5,7,2,8,4,5,2,6,1,11,6,2,12,3,7,0,5,4,5,4,2,1,3,2,2,8
N20000011,NI data zone,4,5,4,5,8,9,8,10,9,7,4,15,3,11,6,9,6,5,3,7,6,6,8,9,10,7,8,7,6,10,10,8,5,7,6,6,11,7,6,4,7,9,5,7,0,4,5,6,5,12,15,4,6,2,9,5,7,10,6,9,5,3,4,4,1,3,8,9,4,10,4,7,10,3,4,4,3,1,6,2,6,0,0,1,1,3
N20000012,NI data zone,1,5,1,5,4,2,1,3,5,5,3,3,6,4,3,3,3,1,3,4,3,5,2,5,10,5,5,2,6,6,7,3,7,7,2,4,8,4,7,5,4,8,4,1,6,4,6,9,7,10,6,9,16,7,9,13,14,20,3,6,6,2,6,3,12,7,7,3,11,8,8,9,5,10,5,11,6,9,6,5,5,8,3,1,4,9
N20000013,NI data zone,2,4,2,2,2,0,2,3,5,4,4,3,5,5,3,4,3,4,10,7,4,1,8,10,4,1,5,5,3,2,3,2,3,4,0,2,1,1,2,2,5,3,5,2,5,4,5,2,10,8,5,11,8,11,10,6,6,4,5,4,4,7,6,6,1,3,4,8,4,5,2,6,7,7,2,4,7,6,3,3,3,8,6,1,5,28
N20000014,NI data zone,10,6,12,7,5,14,7,6,4,4,5,7,3,4,8,9,3,5,3,4,1,5,3,5,6,4,3,3,6,3,5,5,5,10,2,4,8,4,4,6,5,8,2,5,4,3,6,8,9,9,4,5,8,6,7,11,8,9,6,10,4,5,7,6,7,10,6,7,4,2,8,6,6,5,6,4,5,3,5,5,4,3,6,5,3,19
N20000015,NI data zone,11,9,7,6,7,14,5,8,8,5,13,8,14,12,3,7,4,9,7,6,7,3,3,1,11,4,8,9,12,10,11,4,12,5,9,12,9,6,11,7,4,6,13,4,11,2,5,6,11,5,6,7,10,7,8,12,9,5,2,5,9,10,9,8,9,8,5,3,11,6,6,5,3,1,5,6,3,5,3,3,3,2,3,0,4,5
N20000016,NI data zone,7,6,5,11,10,7,5,9,5,8,7,1,2,4,0,5,5,7,4,1,4,7,4,4,8,5,2,7,5,5,11,8,6,9,9,8,11,9,10,6,6,8,4,5,6,5,4,4,10,3,5,5,2,8,6,7,5,10,6,7,0,2,4,1,0,4,4,5,5,3,6,3,3,5,0,4,4,11,2,4,2,0,3,1,4,9
