dz_2021_code,type,white,asian,black,mixed,other
N20000001,NI data zone,734,1,0,3,0
N20000002,NI data zone,329,0,1,1,0
N20000003,NI data zone,365,0,0,0,0
N20000004,NI data zone,655,0,0,7,1
N20000005,NI data zone,676,0,0,0,0
N20000006,NI data zone,461,1,0,2,0
N20000007,NI data zone,877,1,2,0,0
N20000008,NI data zone,636,3,0,2,0
N20000009,NI data zone,392,0,1,8,0
N20000010,NI data zone,543,0,0,1,0
N20000011,NI data zone,512,0,7,6,0
N20000012,NI data zone,497,2,0,4,0
N20000013,NI data zone,407,0,0,0,1
N20000014,NI data zone,505,1,0,0,0
N20000015,NI data zone,579,6,1,0,0
N20000016,NI data zone,444,3,1,5,0
N20000017,NI data zone,667,2,5,2,0
N20000018,NI data zone,479,7,0,0,0
N20000019,NI data zone,369,5,14,5,0
N20000020,NI data zone,545,3,8,0,3
N20000021,NI data zone,540,0,0,4,1
N20000022,NI data zone,437,2,1,1,0
N20000023,NI data zone,491,1,0,4,3
N20000024,NI data zone,620,0,0,0,0
N20000025,NI data zone,360,50,0,5,0
N20000026,NI data zone,550,0,0,4,0
N20000027,NI data zone,459,98,0,1,0
N20000028,NI data zone,546,1,3,0,0
N20000029,NI data zone,545,0,2,4,0
N20000030,NI data zone,490,3,2,0,1
N20000031,NI data zone,524,3,4,0,0
N20000032,NI data zone,458,0,0,0,1
N20000033,NI data zone,536,0,0,0,0
N20000034,NI data zone,438,1,0,0,0
N20000035,NI data zone,592,53,7,17,2
N20000036,NI data zone,360,13,1,0,0
N20000037,NI data zone,395,16,10,1,0
N20000038,NI data zone,556,56,7,5,4
N20000039,NI data zone,480,4,1,13,2
N20000040,NI data zone,323,18,10,5,17
N20000041,NI data zone,831,90,0,9,1
N20000042,NI data zone,527,129,0,9,0
N20000043,NI data zone,715,95,3,4,2
N20000044,NI data zone,444,47,1,1,0
N20000045,NI data zone,430,31,0,5,0
N20000046,NI data zone,544,20,5,1,0
N20000047,NI data zone,480,29,0,6,1
N20000048,NI data zone,540,15,0,7,0
N20000049,NI data zone,504,48,2,0,0
N20000050,NI data zone,418,3,0,0,4
N20000051,NI data zone,474,9,1,9,0
N20000052,NI data zone,492,7,0,1,1
N20000053,NI data zone,382,16,9,1,0
N20000054,NI data zone,504,7,1,4,0
N20000055,NI data zone,318,12,3,3,0
N20000056,NI data zone,467,8,0,6,0
N20000057,NI data zone,431,21,6,4,2
N20000058,NI data zone,396,13,4,0,0
N20000059,NI data zone,383,8,11,10,1
N20000060,NI data zone,348,3,0,4,0
N20000061,NI data zone,362,17,0,3,0
N20000062,NI data zone,583,5,6,3,0
N20000063,NI data zone,321,32,0,1,0
N20000064,NI data zone,378,10,0,2,1
N20000065,NI data zone,485,6,0,0,0
N20000066,NI data zone,325,0,0,0,0
N20000067,NI data zone,498,11,0,12,0
N20000068,NI data zone,410,11,2,0,0
N20000069,NI data zone,451,5,1,4,0
N20000070,NI data zone,419,6,0,0,1
N20000071,NI data zone,313,13,4,3,6
N20000072,NI data zone,517,16,10,15,0
N20000073,NI data zone,465,4,0,2,0
N20000074,NI data zone,460,4,0,3,1
N20000075,NI data zone,411,9,1,5,6
N20000076,NI data zone,345,15,10,0,5
N20000077,NI data zone,298,2,2,1,1
N20000078,NI data zone,320,2,1,0,0
N20000079,NI data zone,379,3,3,2,0
N20000080,NI data zone,591,38,1,2,1
N20000081,NI data zone,325,4,4,0,1
N20000082,NI data zone,441,0,9,0,2
N20000083,NI data zone,269,1,0,0,0
N20000084,NI data zone,286,0,0,0,2
N20000085,NI data zone,566,15,2,8,4
N20000086,NI data zone,606,2,0,3,0
N20000087,NI data zone,472,0,1,0,0
N20000088,NI data zone,480,0,6,0,0
N20000089,NI data zone,674,0,1,4,0
N20000090,NI data zone,787,5,2,9,0
N20000091,NI data zone,500,5,0,4,0
N20000092,NI data zone,797,2,0,3,0
N20000093,NI data zone,401,1,0,6,0
N20000094,NI data zone,421,0,0,4,2
N20000095,NI data zone,392,2,0,3,0
N20000096,NI data zone,578,0,0,4,0
N20000097,NI data zone,559,3,3,7,1
N20000098,NI data zone,383,0,0,0,0
N20000099,NI data zone,462,2,0,0,0
N20000100,NI data zone,695,2,1,6,1
N20000101,NI data zone,457,3,0,2,1
N20000102,NI data zone,464,8,0,3,0
N20000103,NI data zone,349,4,0,0,0
N20000104,NI data zone,529,2,2,0,0
N20000105,NI data zone,401,3,2,0,1
N20000106,NI data zone,411,0,1,1,0
N20000107,NI data zone,379,5,7,9,2
N20000108,NI data zone,349,0,0,0,0
N20000109,NI data zone,547,2,0,3,0
N20000110,NI data zone,657,1,0,3,0
N20000111,NI data zone,548,8,0,1,0
N20000112,NI data zone,314,0,7,1,1
N20000113,NI data zone,394,7,1,0,0
N20000114,NI data zone,439,0,0,0,0
N20000115,NI data zone,715,5,0,6,0
N20000116,NI data zone,301,0,0,3,7
N20000117,NI data zone,339,2,0,2,0
N20000118,NI data zone,414,1,0,2,1
N20000119,NI data zone,330,2,0,0,0
N20000120,NI data zone,401,1,0,0,0
N20000121,NI data zone,691,4,1,8,1
N20000122,NI data zone,708,0,0,2,1
N20000123,NI data zone,481,3,0,5,0
N20000124,NI data zone,452,3,0,1,1
N20000125,NI data zone,428,4,6,3,0
N20000126,NI data zone,600,8,0,2,2
N20000127,NI data zone,191,0,1,1,0
N20000128,NI data zone,689,3,5,4,0
N20000129,NI data zone,809,5,2,7,3
N20000130,NI data zone,546,6,0,9,0
N20000131,NI data zone,390,2,0,0,0
N20000132,NI data zone,557,39,1,6,0
N20000133,NI data zone,724,12,0,4,0
N20000134,NI data zone,617,41,1,18,0
N20000135,NI data zone,521,0,0,0,2
N20000136,NI data zone,488,2,0,3,0
N20000137,NI data zone,445,3,2,6,1
N20000138,NI data zone,487,3,1,5,0
N20000139,NI data zone,458,1,1,2,0
N20000140,NI data zone,629,69,8,8,3
N20000141,NI data zone,339,5,0,4,3
N20000142,NI data zone,346,0,0,1,0
N20000143,NI data zone,595,20,2,8,0
N20000144,NI data zone,375,6,0,0,1
N20000145,NI data zone,260,0,0,0,0
N20000146,NI data zone,387,5,4,6,0
N20000147,NI data zone,503,0,0,0,0
N20000148,NI data zone,310,0,0,0,0
N20000149,NI data zone,592,22,1,0,0
N20000150,NI data zone,316,2,0,1,0
N20000151,NI data zone,588,14,1,4,3
N20000152,NI data zone,327,27,0,12,4
N20000153,NI data zone,544,0,1,0,1
N20000154,NI data zone,776,4,0,3,4
N20000155,NI data zone,345,1,5,4,0
N20000156,NI data zone,663,6,0,4,1
N20000157,NI data zone,662,2,1,8,2
N20000158,NI data zone,573,20,0,3,0
N20000159,NI data zone,378,5,0,1,1
N20000160,NI data zone,339,15,1,10,0
N20000161,NI data zone,495,32,1,12,7
N20000162,NI data zone,717,12,2,15,2
N20000163,NI data zone,506,17,5,4,0
N20000164,NI data zone,563,8,0,0,0
N20000165,NI data zone,436,9,10,4,1
N20000166,NI data zone,373,9,3,7,1
N20000167,NI data zone,286,3,13,5,0
N20000168,NI data zone,413,5,3,5,2
N20000169,NI data zone,413,6,3,7,0
N20000170,NI data zone,457,5,3,9,0
N20000171,NI data zone,411,36,1,8,0
N20000172,NI data zone,508,82,0,6,0
N20000173,NI data zone,619,7,5,7,1
N20000174,NI data zone,613,2,0,8,0
N20000175,NI data zone,379,45,9,0,8
N20000176,NI data zone,408,3,0,0,0
N20000177,NI data zone,319,21,9,3,1
N20000178,NI data zone,399,11,14,10,5
N20000179,NI data zone,530,48,9,4,0
N20000180,NI data zone,477,0,2,3,0
N20000181,NI data zone,456,3,0,1,2
N20000182,NI data zone,677,0,0,2,1
N20000183,NI data zone,407,6,4,5,1
N20000184,NI data zone,409,2,0,7,0
N20000185,NI data zone,233,6,0,2,1
N20000186,NI data zone,190,12,0,1,0
N20000187,NI data zone,362,2,0,6,1
N20000188,NI data zone,477,23,1,0,0
N20000189,NI data zone,566,0,5,1,0
N20000190,NI data zone,356,2,0,0,0
N20000191,NI data zone,391,6,4,4,0
N20000192,NI data zone,260,1,0,0,0
N20000193,NI data zone,234,1,0,3,0
N20000194,NI data zone,344,0,8,5,1
N20000195,NI data zone,527,1,2,1,0
N20000196,NI data zone,216,0,0,0,0
N20000197,NI data zone,211,2,0,0,0
N20000198,NI data zone,346,6,0,7,0
N20000199,NI data zone,500,4,0,4,4
N20000200,NI data zone,553,3,1,3,1
N20000201,NI data zone,550,5,4,5,3
N20000202,NI data zone,396,0,0,2,0
N20000203,NI data zone,280,27,0,7,0
N20000204,NI data zone,374,4,0,1,0
