dz_2021_code,type,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
N20000001,NI data zone,734,0,0,0,0,0,0,0,1,0,0,3,0
N20000002,NI data zone,329,0,0,0,0,0,0,0,0,1,0,1,0
N20000003,NI data zone,365,0,0,0,0,0,0,0,0,0,0,0,0
N20000004,NI data zone,655,0,0,0,0,0,0,0,0,0,0,7,1
N20000005,NI data zone,676,0,0,0,0,0,0,0,0,0,0,0,0
N20000006,NI data zone,461,0,0,0,1,0,0,0,0,0,0,2,0
N20000007,NI data zone,877,0,0,1,0,0,0,0,0,2,0,0,0
N20000008,NI data zone,636,0,0,2,0,1,0,0,0,0,0,2,0
N20000009,NI data zone,392,0,0,0,0,0,0,0,0,1,0,8,0
N20000010,NI data zone,543,0,0,0,0,0,0,0,0,0,0,1,0
N20000011,NI data zone,512,0,0,0,0,0,0,0,0,7,0,6,0
N20000012,NI data zone,497,0,0,0,0,1,0,1,0,0,0,4,0
N20000013,NI data zone,407,0,0,0,0,0,0,0,0,0,0,0,1
N20000014,NI data zone,505,0,0,0,1,0,0,0,0,0,0,0,0
N20000015,NI data zone,579,0,0,5,0,0,0,0,1,1,0,0,0
N20000016,NI data zone,444,0,0,2,0,1,0,0,0,1,0,5,0
N20000017,NI data zone,667,0,0,0,0,1,0,0,1,5,0,2,0
N20000018,NI data zone,479,0,0,0,6,0,0,0,1,0,0,0,0
N20000019,NI data zone,369,0,0,4,1,0,0,0,0,14,0,5,0
N20000020,NI data zone,545,5,0,0,0,3,0,0,0,8,0,0,1
N20000021,NI data zone,540,0,0,0,0,0,0,0,0,0,0,4,1
N20000022,NI data zone,437,0,0,1,1,0,0,0,0,1,0,1,0
N20000023,NI data zone,491,0,0,0,1,0,0,0,0,0,0,4,3
N20000024,NI data zone,620,0,0,0,0,0,0,0,0,0,0,0,0
N20000025,NI data zone,360,0,0,28,0,19,3,0,0,0,0,5,0
N20000026,NI data zone,550,0,0,0,0,0,0,0,0,0,0,4,0
N20000027,NI data zone,459,0,0,64,9,26,0,0,0,0,0,1,0
N20000028,NI data zone,546,0,0,0,0,1,0,0,0,0,3,0,0
N20000029,NI data zone,545,0,0,0,0,0,0,0,0,2,0,4,0
N20000030,NI data zone,490,0,0,1,0,2,0,0,0,2,0,0,1
N20000031,NI data zone,524,0,0,3,0,0,0,0,0,4,0,0,0
N20000032,NI data zone,458,0,1,0,0,0,0,0,0,0,0,0,0
N20000033,NI data zone,536,0,0,0,0,0,0,0,0,0,0,0,0
N20000034,NI data zone,438,0,0,0,0,0,0,0,1,0,0,0,0
N20000035,NI data zone,592,0,0,35,4,9,0,5,0,6,1,17,2
N20000036,NI data zone,360,0,0,1,0,1,3,8,0,1,0,0,0
N20000037,NI data zone,395,0,0,0,2,0,0,4,9,4,6,1,0
N20000038,NI data zone,556,0,0,44,0,12,0,0,0,7,0,5,4
N20000039,NI data zone,480,2,0,3,0,0,1,0,0,1,0,13,0
N20000040,NI data zone,323,16,0,3,0,0,0,15,0,10,0,5,1
N20000041,NI data zone,831,0,0,52,11,26,0,0,1,0,0,9,1
N20000042,NI data zone,527,0,0,76,3,43,6,0,0,0,0,9,0
N20000043,NI data zone,715,0,0,68,19,8,0,0,0,3,0,4,2
N20000044,NI data zone,444,0,0,38,8,1,0,0,0,1,0,1,0
N20000045,NI data zone,430,0,0,16,0,15,0,0,0,0,0,5,0
N20000046,NI data zone,544,0,0,14,4,0,0,2,0,5,0,1,0
N20000047,NI data zone,480,0,0,6,7,14,2,0,0,0,0,6,1
N20000048,NI data zone,540,0,0,9,6,0,0,0,0,0,0,7,0
N20000049,NI data zone,504,0,0,35,3,10,0,0,0,2,0,0,0
N20000050,NI data zone,418,0,0,0,0,3,0,0,0,0,0,0,4
N20000051,NI data zone,474,0,0,6,2,0,0,0,1,0,1,9,0
N20000052,NI data zone,492,0,0,6,0,1,0,0,0,0,0,1,1
N20000053,NI data zone,382,0,0,16,0,0,0,0,0,9,0,1,0
N20000054,NI data zone,504,0,0,3,3,0,0,1,1,1,0,4,0
N20000055,NI data zone,318,0,0,1,11,0,0,0,0,3,0,3,0
N20000056,NI data zone,467,0,0,5,4,0,0,0,0,0,0,6,0
N20000057,NI data zone,431,2,0,8,13,0,0,0,0,6,0,4,0
N20000058,NI data zone,396,0,0,8,3,2,0,0,0,1,3,0,0
N20000059,NI data zone,383,0,0,8,0,0,0,0,0,11,0,10,1
N20000060,NI data zone,348,0,0,3,0,0,0,0,0,0,0,4,0
N20000061,NI data zone,362,0,0,8,0,0,9,0,1,0,0,3,0
N20000062,NI data zone,583,0,0,5,0,0,0,0,0,6,0,3,0
N20000063,NI data zone,321,0,0,28,0,0,0,3,1,0,0,1,0
N20000064,NI data zone,378,0,0,5,3,1,0,0,0,0,0,2,1
N20000065,NI data zone,485,0,0,2,0,0,4,0,0,0,0,0,0
N20000066,NI data zone,325,0,0,0,0,0,0,0,0,0,0,0,0
N20000067,NI data zone,498,0,0,0,0,0,0,11,0,0,0,12,0
N20000068,NI data zone,410,0,0,0,3,0,0,0,8,2,0,0,0
N20000069,NI data zone,451,0,0,0,0,0,4,0,1,1,0,4,0
N20000070,NI data zone,419,0,0,4,1,0,0,0,1,0,0,0,1
N20000071,NI data zone,313,0,0,7,5,0,0,0,1,4,0,3,6
N20000072,NI data zone,517,0,0,9,4,0,4,0,0,3,7,15,0
N20000073,NI data zone,465,0,0,2,1,0,0,0,1,0,0,2,0
N20000074,NI data zone,460,0,0,0,0,0,0,0,4,0,0,3,1
N20000075,NI data zone,411,0,0,8,0,1,0,0,0,1,0,5,6
N20000076,NI data zone,345,0,0,8,5,0,0,0,0,9,1,0,5
N20000077,NI data zone,298,1,0,3,1,0,0,0,0,2,0,1,0
N20000078,NI data zone,320,0,0,1,0,0,1,0,0,1,0,0,0
N20000079,NI data zone,379,0,0,1,0,0,0,0,2,2,1,2,0
N20000080,NI data zone,591,0,0,1,23,4,1,2,7,1,0,2,1
N20000081,NI data zone,325,0,0,4,0,0,0,0,0,4,0,0,1
N20000082,NI data zone,441,0,0,0,0,0,0,0,0,9,0,0,2
N20000083,NI data zone,269,0,0,0,1,0,0,0,0,0,0,0,0
N20000084,NI data zone,286,0,0,0,0,0,0,0,0,0,0,0,2
N20000085,NI data zone,566,0,0,8,1,1,0,5,0,0,2,8,4
N20000086,NI data zone,606,0,0,1,0,0,0,0,1,0,0,3,0
N20000087,NI data zone,472,0,0,0,0,0,0,0,0,0,1,0,0
N20000088,NI data zone,480,0,0,0,0,0,0,0,0,4,2,0,0
N20000089,NI data zone,674,0,0,0,0,0,0,0,0,1,0,4,0
N20000090,NI data zone,787,0,0,0,5,0,0,0,0,2,0,9,0
N20000091,NI data zone,500,0,0,0,2,0,0,0,2,0,0,4,0
N20000092,NI data zone,797,0,0,2,0,0,0,0,0,0,0,3,0
N20000093,NI data zone,401,0,0,0,0,0,0,0,1,0,0,6,0
N20000094,NI data zone,421,0,0,0,0,0,0,0,0,0,0,4,2
N20000095,NI data zone,392,0,0,1,1,0,0,0,0,0,0,3,0
N20000096,NI data zone,578,0,0,0,0,0,0,0,0,0,0,4,0
N20000097,NI data zone,559,0,0,2,0,0,0,1,0,2,1,7,1
N20000098,NI data zone,383,0,0,0,0,0,0,0,0,0,0,0,0
N20000099,NI data zone,462,0,0,0,1,1,0,0,0,0,0,0,0
N20000100,NI data zone,695,0,0,0,1,0,0,0,1,0,1,6,1
N20000101,NI data zone,457,0,0,2,1,0,0,0,0,0,0,2,1
N20000102,NI data zone,464,0,0,6,0,0,0,2,0,0,0,3,0
N20000103,NI data zone,349,0,0,0,2,1,0,0,1,0,0,0,0
N20000104,NI data zone,529,0,0,2,0,0,0,0,0,2,0,0,0
N20000105,NI data zone,401,1,0,1,0,0,0,0,2,2,0,0,0
N20000106,NI data zone,411,0,0,0,0,0,0,0,0,0,1,1,0
