dz_2021_code,type,very_good,good,fair,bad,very_bad
N20000001,NI data zone,403,226,78,19,12
N20000002,NI data zone,163,112,39,13,4
N20000003,NI data zone,201,104,44,10,1
N20000004,NI data zone,382,197,58,16,10
N20000005,NI data zone,372,184,83,23,14
N20000006,NI data zone,261,117,59,22,5
N20000007,NI data zone,504,236,95,36,9
N20000008,NI data zone,340,192,83,18,9
N20000009,NI data zone,207,124,51,15,3
N20000010,NI data zone,310,149,60,19,7
N20000011,NI data zone,237,163,82,28,15
N20000012,NI data zone,214,165,81,30,13
N20000013,NI data zone,173,131,54,43,6
N20000014,NI data zone,248,161,60,26,11
N20000015,NI data zone,245,174,115,42,10
N20000016,NI data zone,235,131,59,22,6
N20000017,NI data zone,351,206,86,24,9
N20000018,NI data zone,296,124,41,19,6
N20000019,NI data zone,135,113,102,33,9
N20000020,NI data zone,236,169,94,42,20
N20000021,NI data zone,306,158,61,14,5
N20000022,NI data zone,293,102,37,6,3
N20000023,NI data zone,245,158,67,24,7
N20000024,NI data zone,381,143,65,19,9
N20000025,NI data zone,293,82,32,6,1
N20000026,NI data zone,319,173,47,12,3
N20000027,NI data zone,372,131,47,5,3
N20000028,NI data zone,303,157,61,20,9
N20000029,NI data zone,271,189,74,11,7
N20000030,NI data zone,306,131,43,15,1
N20000031,NI data zone,277,149,62,30,14
N20000032,NI data zone,296,96,45,15,7
N20000033,NI data zone,326,134,58,16,2
N20000034,NI data zone,259,119,40,18,4
N20000035,NI data zone,385,191,64,28,3
N20000036,NI data zone,197,107,46,19,5
N20000037,NI data zone,168,148,55,32,18
N20000038,NI data zone,372,181,45,13,17
N20000039,NI data zone,210,160,77,42,10
N20000040,NI data zone,201,121,27,14,9
N20000041,NI data zone,503,278,102,36,12
N20000042,NI data zone,417,178,52,15,2
N20000043,NI data zone,525,207,70,12,6
N20000044,NI data zone,282,137,56,12,5
N20000045,NI data zone,232,142,60,31,1
N20000046,NI data zone,227,210,76,34,24
N20000047,NI data zone,241,133,103,36,3
N20000048,NI data zone,246,188,79,40,9
N20000049,NI data zone,205,169,107,54,19
N20000050,NI data zone,171,131,66,43,14
N20000051,NI data zone,226,115,91,43,16
N20000052,NI data zone,204,157,89,43,8
N20000053,NI data zone,148,129,75,41,15
N20000054,NI data zone,238,146,92,34,7
N20000055,NI data zone,148,97,64,22,5
N20000056,NI data zone,210,146,85,30,11
N20000057,NI data zone,220,146,67,25,7
N20000058,NI data zone,159,141,71,28,16
N20000059,NI data zone,147,127,79,47,12
N20000060,NI data zone,185,109,46,14,3
N20000061,NI data zone,144,142,63,29,4
N20000062,NI data zone,245,184,102,49,17
N20000063,NI data zone,140,132,45,29,8
N20000064,NI data zone,149,139,69,28,7
N20000065,NI data zone,201,165,99,18,8
N20000066,NI data zone,133,101,57,25,9
N20000067,NI data zone,225,125,99,48,22
N20000068,NI data zone,111,101,121,64,26
N20000069,NI data zone,258,131,56,16,0
N20000070,NI data zone,174,163,63,16,10
N20000071,NI data zone,164,102,46,17,9
N20000072,NI data zone,299,176,64,15,6
N20000073,NI data zone,207,138,72,44,12
N20000074,NI data zone,187,150,85,41,5
N20000075,NI data zone,277,109,30,10,7
N20000076,NI data zone,166,123,49,24,11
N20000077,NI data zone,109,88,69,29,12
N20000078,NI data zone,103,108,66,32,11
N20000079,NI data zone,134,133,80,35,5
N20000080,NI data zone,333,219,54,24,3
N20000081,NI data zone,141,99,59,28,7
N20000082,NI data zone,185,130,93,32,9
N20000083,NI data zone,95,81,67,17,10
N20000084,NI data zone,102,96,62,22,6
N20000085,NI data zone,368,154,45,23,4
N20000086,NI data zone,347,149,82,24,8
N20000087,NI data zone,247,142,62,17,5
N20000088,NI data zone,286,143,35,16,5
N20000089,NI data zone,400,187,59,27,7
N20000090,NI data zone,496,216,71,16,4
N20000091,NI data zone,276,162,56,15,0
N20000092,NI data zone,471,229,71,23,8
N20000093,NI data zone,129,136,86,46,11
N20000094,NI data zone,302,92,31,0,0
N20000095,NI data zone,179,108,72,26,12
N20000096,NI data zone,311,158,78,29,6
N20000097,NI data zone,233,188,111,32,11
N20000098,NI data zone,166,130,59,20,7
N20000099,NI data zone,232,150,62,16,4
N20000100,NI data zone,385,194,90,30,8
N20000101,NI data zone,274,123,54,11,2
N20000102,NI data zone,236,162,56,17,4
N20000103,NI data zone,124,96,83,38,12
N20000104,NI data zone,243,149,81,44,16
N20000105,NI data zone,203,113,54,31,5
N20000106,NI data zone,206,108,72,22,5
N20000107,NI data zone,180,129,54,32,6
N20000108,NI data zone,100,87,88,60,14
N20000109,NI data zone,281,186,61,22,5
N20000110,NI data zone,370,205,66,14,6
N20000111,NI data zone,212,176,110,48,9
N20000112,NI data zone,110,113,73,21,6
N20000113,NI data zone,202,117,51,29,3
N20000114,NI data zone,190,151,72,21,5
N20000115,NI data zone,391,211,95,23,7
N20000116,NI data zone,175,90,32,11,2
N20000117,NI data zone,181,108,35,14,5
N20000118,NI data zone,205,121,56,24,12
N20000119,NI data zone,147,115,51,17,2
N20000120,NI data zone,192,145,38,23,4
N20000121,NI data zone,364,214,92,22,13
N20000122,NI data zone,418,197,73,21,3
N20000123,NI data zone,305,118,51,13,0
N20000124,NI data zone,236,145,61,14,1
N20000125,NI data zone,204,144,71,16,7
N20000126,NI data zone,409,156,35,10,1
N20000127,NI data zone,78,61,36,18,0
N20000128,NI data zone,389,223,58,26,5
N20000129,NI data zone,342,220,142,81,41
N20000130,NI data zone,291,168,69,24,7
N20000131,NI data zone,190,96,63,34,7
N20000132,NI data zone,367,179,52,4,1
N20000133,NI data zone,406,238,69,21,6
N20000134,NI data zone,400,207,48,17,5
N20000135,NI data zone,215,189,80,28,11
N20000136,NI data zone,150,192,100,35,14
N20000137,NI data zone,188,166,63,32,7
N20000138,NI data zone,203,162,80,34,16
N20000139,NI data zone,192,160,63,33,14
N20000140,NI data zone,465,212,37,5,1
N20000141,NI data zone,223,103,17,7,1
N20000142,NI data zone,121,116,63,31,18
