dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000001,NI data zone,41,73,226,55,343
N20000002,NI data zone,16,34,108,30,144
N20000003,NI data zone,12,45,110,19,179
N20000004,NI data zone,37,51,199,37,339
N20000005,NI data zone,41,66,187,59,323
N20000006,NI data zone,26,40,142,21,235
N20000007,NI data zone,40,84,274,50,432
N20000008,NI data zone,34,55,165,51,337
N20000009,NI data zone,23,43,117,25,193
N20000010,NI data zone,34,47,155,52,258
N20000011,NI data zone,19,60,127,13,306
N20000012,NI data zone,19,44,143,29,268
N20000013,NI data zone,23,40,103,27,214
N20000014,NI data zone,23,41,125,19,298
N20000015,NI data zone,24,32,143,22,365
N20000016,NI data zone,17,40,135,26,236
N20000017,NI data zone,30,74,215,9,348
N20000018,NI data zone,29,51,165,24,217
N20000019,NI data zone,7,19,113,18,235
N20000020,NI data zone,19,50,150,9,334
N20000021,NI data zone,32,46,193,25,249
N20000022,NI data zone,14,29,175,16,206
N20000023,NI data zone,20,50,150,18,264
N20000024,NI data zone,21,47,174,53,325
N20000025,NI data zone,15,42,145,18,195
N20000026,NI data zone,38,53,166,35,262
N20000027,NI data zone,12,61,197,22,266
N20000028,NI data zone,16,42,167,30,295
N20000029,NI data zone,30,55,153,31,283
N20000030,NI data zone,37,44,149,37,229
N20000031,NI data zone,32,41,182,27,249
N20000032,NI data zone,28,44,138,25,224
N20000033,NI data zone,21,64,166,47,238
N20000034,NI data zone,29,35,133,27,215
N20000035,NI data zone,38,77,219,26,311
N20000036,NI data zone,12,40,116,9,197
N20000037,NI data zone,13,26,93,14,275
N20000038,NI data zone,22,55,287,29,235
N20000039,NI data zone,16,39,145,13,286
N20000040,NI data zone,10,48,85,10,218
N20000041,NI data zone,40,100,323,29,439
N20000042,NI data zone,18,66,270,20,289
N20000043,NI data zone,23,84,292,36,387
N20000044,NI data zone,25,44,197,15,214
N20000045,NI data zone,19,44,164,22,217
N20000046,NI data zone,20,74,156,7,313
N20000047,NI data zone,14,55,144,13,291
N20000048,NI data zone,16,58,135,14,339
N20000049,NI data zone,23,55,159,12,305
N20000050,NI data zone,22,27,98,14,266
N20000051,NI data zone,20,46,100,5,322
N20000052,NI data zone,21,63,133,7,277
N20000053,NI data zone,11,33,100,6,256
N20000054,NI data zone,26,51,140,9,291
N20000055,NI data zone,16,38,69,7,205
N20000056,NI data zone,16,44,109,8,305
N20000057,NI data zone,21,37,152,14,240
N20000058,NI data zone,15,36,89,12,263
N20000059,NI data zone,20,34,104,14,242
N20000060,NI data zone,11,35,123,11,174
N20000061,NI data zone,9,39,99,11,224
N20000062,NI data zone,27,56,152,11,351
N20000063,NI data zone,9,38,134,10,162
N20000064,NI data zone,16,38,112,11,218
N20000065,NI data zone,27,39,125,14,287
N20000066,NI data zone,13,24,68,3,217
N20000067,NI data zone,11,43,84,5,378
N20000068,NI data zone,15,31,50,3,324
N20000069,NI data zone,18,43,151,22,228
N20000070,NI data zone,18,39,132,7,230
N20000071,NI data zone,13,28,116,11,169
N20000072,NI data zone,23,47,172,25,292
N20000073,NI data zone,21,47,120,13,272
N20000074,NI data zone,14,61,125,6,262
N20000075,NI data zone,17,55,157,19,184
N20000076,NI data zone,15,35,131,16,174
N20000077,NI data zone,12,27,99,2,166
N20000078,NI data zone,14,19,84,10,196
N20000079,NI data zone,11,41,93,4,238
N20000080,NI data zone,30,52,197,31,321
N20000081,NI data zone,10,23,95,12,194
N20000082,NI data zone,8,34,107,12,293
N20000083,NI data zone,11,29,81,5,144
N20000084,NI data zone,11,18,73,8,178
N20000085,NI data zone,27,61,233,26,247
N20000086,NI data zone,40,61,175,33,305
N20000087,NI data zone,25,51,122,28,246
N20000088,NI data zone,20,59,155,32,220
N20000089,NI data zone,39,81,201,33,325
N20000090,NI data zone,40,78,263,46,376
N20000091,NI data zone,20,60,201,22,205
N20000092,NI data zone,29,81,279,40,375
N20000093,NI data zone,16,27,82,11,273
N20000094,NI data zone,20,48,165,22,172
N20000095,NI data zone,20,39,77,9,252
N20000096,NI data zone,33,69,183,24,274
N20000097,NI data zone,27,46,136,14,351
N20000098,NI data zone,13,38,95,11,225
N20000099,NI data zone,30,46,136,34,218
N20000100,NI data zone,40,76,175,58,359
N20000101,NI data zone,19,51,168,23,202
N20000102,NI data zone,14,55,165,21,220
N20000103,NI data zone,11,28,90,6,218
N20000104,NI data zone,17,48,111,11,346
N20000105,NI data zone,16,42,108,6,235
N20000106,NI data zone,14,37,143,12,207
