dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000001,NI data zone,21,18,50,79,30,4,9,27,10
N20000002,NI data zone,12,15,25,27,19,3,3,17,6
N20000003,NI data zone,6,13,20,34,18,2,6,22,8
N20000004,NI data zone,18,11,35,73,25,8,8,30,11
N20000005,NI data zone,23,11,30,64,44,8,5,33,14
N20000006,NI data zone,19,17,32,44,17,4,7,20,9
N20000007,NI data zone,38,19,38,81,49,7,15,30,11
N20000008,NI data zone,30,26,29,60,24,10,12,33,13
N20000009,NI data zone,9,5,21,53,16,3,2,18,5
N20000010,NI data zone,13,16,26,50,25,2,6,26,16
N20000011,NI data zone,35,43,26,33,18,29,15,23,9
N20000012,NI data zone,31,49,40,34,20,5,9,34,6
N20000013,NI data zone,20,12,21,35,17,4,6,24,4
N20000014,NI data zone,20,11,43,46,18,12,5,21,4
N20000015,NI data zone,27,51,25,37,13,39,24,13,4
N20000016,NI data zone,26,26,21,44,15,12,16,17,6
N20000017,NI data zone,24,36,35,62,21,29,26,21,8
N20000018,NI data zone,8,20,26,51,19,14,11,9,10
N20000019,NI data zone,47,83,27,15,2,11,5,17,13
N20000020,NI data zone,37,58,22,33,19,25,22,27,11
N20000021,NI data zone,11,25,30,68,22,15,3,11,7
N20000022,NI data zone,7,28,22,49,13,15,6,5,6
N20000023,NI data zone,21,28,35,44,25,15,7,19,4
N20000024,NI data zone,19,24,18,61,26,10,16,18,10
N20000025,NI data zone,3,19,13,58,9,15,3,2,6
N20000026,NI data zone,21,15,46,53,24,3,6,33,6
N20000027,NI data zone,2,25,25,96,7,11,4,3,6
N20000028,NI data zone,24,16,20,55,20,3,11,18,11
N20000029,NI data zone,19,33,33,55,21,11,10,21,8
N20000030,NI data zone,29,15,23,48,26,7,9,23,9
N20000031,NI data zone,23,38,43,40,32,9,11,24,6
N20000032,NI data zone,12,13,12,47,23,5,6,14,7
N20000033,NI data zone,14,12,23,51,38,2,12,8,9
N20000034,NI data zone,13,8,15,45,24,5,5,14,9
N20000035,NI data zone,8,58,35,86,10,23,7,12,11
N20000036,NI data zone,10,37,20,38,6,24,5,4,7
N20000037,NI data zone,10,53,13,34,7,30,7,4,8
N20000038,NI data zone,3,70,65,66,13,16,5,9,11
N20000039,NI data zone,15,22,31,33,20,6,12,30,8
N20000040,NI data zone,4,23,12,29,8,36,7,7,8
N20000041,NI data zone,20,29,58,107,35,24,12,31,17
N20000042,NI data zone,1,39,52,90,2,17,8,5,18
N20000043,NI data zone,5,37,45,112,10,32,5,8,18
N20000044,NI data zone,6,31,56,56,9,12,3,15,9
N20000045,NI data zone,21,19,34,42,25,7,3,26,7
