dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000001,NI data zone,135,82,31,2,0
N20000002,NI data zone,54,50,18,5,0
N20000003,NI data zone,58,44,22,4,0
N20000004,NI data zone,110,83,23,4,0
N20000005,NI data zone,117,77,31,5,0
N20000006,NI data zone,88,47,24,7,3
N20000007,NI data zone,135,83,55,17,0
N20000008,NI data zone,101,91,37,7,0
N20000009,NI data zone,73,38,17,3,0
N20000010,NI data zone,88,66,21,7,0
N20000011,NI data zone,75,59,69,26,2
N20000012,NI data zone,92,84,38,12,2
N20000013,NI data zone,53,60,25,5,0
N20000014,NI data zone,95,59,22,5,1
N20000015,NI data zone,74,56,65,32,6
N20000016,NI data zone,74,51,37,20,0
N20000017,NI data zone,113,87,53,7,0
N20000018,NI data zone,78,61,25,4,0
N20000019,NI data zone,51,64,66,31,6
N20000020,NI data zone,67,84,71,26,8
N20000021,NI data zone,115,48,26,2,0
N20000022,NI data zone,102,35,10,4,0
N20000023,NI data zone,91,61,39,7,0
N20000024,NI data zone,90,67,29,14,2
N20000025,NI data zone,83,34,7,4,0
N20000026,NI data zone,113,72,20,1,0
N20000027,NI data zone,122,45,8,4,0
N20000028,NI data zone,97,53,23,7,0
N20000029,NI data zone,101,66,33,12,0
N20000030,NI data zone,112,55,19,2,1
N20000031,NI data zone,104,58,47,16,1
N20000032,NI data zone,66,43,23,6,0
N20000033,NI data zone,84,55,22,5,0
N20000034,NI data zone,72,49,13,3,0
N20000035,NI data zone,122,79,37,12,0
N20000036,NI data zone,65,39,31,15,2
N20000037,NI data zone,44,43,45,27,7
N20000038,NI data zone,187,48,14,6,0
N20000039,NI data zone,65,79,26,6,1
N20000040,NI data zone,51,54,22,5,1
N20000041,NI data zone,158,119,52,5,0
N20000042,NI data zone,164,45,19,4,1
N20000043,NI data zone,161,84,24,1,1
N20000044,NI data zone,133,38,21,8,2
N20000045,NI data zone,75,65,34,8,0
N20000046,NI data zone,93,75,66,25,3
N20000047,NI data zone,94,56,31,1,2
N20000048,NI data zone,93,93,49,9,0
N20000049,NI data zone,74,101,68,31,1
N20000050,NI data zone,51,79,43,29,8
N20000051,NI data zone,48,69,58,21,1
N20000052,NI data zone,67,78,48,20,0
N20000053,NI data zone,47,59,60,23,2
N20000054,NI data zone,69,78,54,18,3
N20000055,NI data zone,45,45,48,17,4
