dz_2021_code,type,age_0_4_years,age_10_14_years,age_15_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_5_9_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_plus_years
N20000360,NI data zone,28,26,36,28,16,21,25,28,33,19,38,24,19,23,18,6,11,6
N20000384,NI data zone,25,44,40,45,36,35,27,42,34,55,41,43,37,32,52,26,21,18
N20000392,NI data zone,26,23,30,25,27,21,30,30,39,34,37,35,35,41,34,30,21,17
N20000421,NI data zone,52,65,47,31,38,48,49,48,54,62,37,61,30,30,27,22,6,7
N20000422,NI data zone,41,40,55,41,49,44,58,45,55,65,65,65,53,33,28,17,14,22
N20000423,NI data zone,46,53,53,47,30,49,48,43,47,66,60,54,50,41,29,34,19,7
N20000424,NI data zone,50,44,59,52,42,47,54,38,43,70,72,49,59,41,27,18,10,17
N20000425,NI data zone,30,33,19,20,24,33,38,28,17,12,14,35,7,5,3,2,2,1
N20000426,NI data zone,47,61,32,25,26,43,47,39,49,45,32,57,15,14,9,3,3,1
N20000427,NI data zone,26,36,51,42,28,29,29,33,35,54,57,32,40,24,28,23,17,11
N20000428,NI data zone,45,63,46,60,57,49,58,50,45,60,73,49,58,43,45,28,10,18
N20000429,NI data zone,23,23,19,21,16,15,36,17,30,18,20,33,19,16,27,28,7,1
N20000430,NI data zone,29,33,28,18,24,34,31,39,28,33,32,40,23,22,13,18,4,7
N20000431,NI data zone,37,50,42,33,29,42,28,30,38,31,25,40,22,30,24,13,6,3
N20000432,NI data zone,34,51,45,35,34,36,28,41,42,33,29,58,35,25,13,13,12,8
N20000433,NI data zone,47,69,48,38,36,49,58,67,55,63,38,65,27,31,10,9,3,2
N20000434,NI data zone,39,67,55,36,28,28,45,44,48,24,38,72,18,22,24,10,6,8
N20000435,NI data zone,48,68,44,45,50,48,69,57,55,39,44,61,27,19,9,9,5,2
N20000436,NI data zone,51,29,32,22,41,57,51,52,35,28,10,37,9,9,7,7,2,1
N20000437,NI data zone,11,28,18,28,17,19,11,29,33,31,19,24,17,20,27,24,4,7
N20000438,NI data zone,25,41,18,25,22,23,40,44,40,22,17,28,5,6,6,2,1,0
N20000439,NI data zone,21,40,30,21,30,28,34,35,27,27,29,35,29,26,25,10,3,7
N20000440,NI data zone,16,38,31,20,22,31,26,26,36,25,19,31,20,19,21,9,7,4
