dz_2021_code,type,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
N20000360,NI data zone,5,6,5,6,6,5,3,5,7,4,3,4,10,5,4,9,7,6,7,7,8,1,8,6,5,2,4,4,2,4,2,1,7,6,5,7,6,3,7,2,4,8,9,4,3,5,5,6,12,5,4,5,5,4,1,9,10,7,5,7,4,6,1,4,4,8,2,3,4,6,6,4,3,2,3,2,0,3,0,1,1,2,4,3,1,6
N20000384,NI data zone,5,2,5,5,8,6,8,6,10,13,4,12,8,11,9,5,6,12,13,4,14,6,8,5,12,3,5,14,3,11,6,4,6,10,9,6,3,7,6,5,7,12,12,3,8,4,6,10,2,12,7,6,14,14,14,11,13,9,6,2,8,8,8,6,7,7,9,3,10,3,6,10,9,13,14,3,5,8,4,6,8,4,4,3,2,18
N20000392,NI data zone,9,6,6,2,3,4,4,11,6,10,5,3,5,5,5,3,10,9,6,2,5,6,4,4,6,8,4,7,4,4,7,1,5,3,5,6,5,8,8,3,8,9,3,5,5,7,2,14,9,7,8,9,4,5,8,9,10,0,10,8,8,11,5,8,3,10,13,4,6,8,6,12,5,8,3,7,7,5,5,6,1,4,4,3,9,17
N20000421,NI data zone,7,12,12,9,12,11,9,11,16,14,12,13,13,12,15,8,15,9,5,10,7,3,7,7,7,9,4,8,10,7,6,8,10,12,12,13,11,6,8,11,6,11,16,8,7,8,18,10,10,8,12,13,11,17,9,6,9,9,7,6,5,2,10,5,8,8,2,7,8,5,6,5,7,4,5,7,2,8,0,5,1,0,1,2,2,7
N20000422,NI data zone,7,10,12,5,7,13,14,11,12,15,5,11,6,12,6,14,10,14,9,8,9,4,15,6,7,10,12,12,9,6,8,6,7,14,9,9,10,10,11,18,17,10,4,6,8,9,15,6,13,12,13,11,15,13,13,11,17,14,13,10,10,13,11,12,7,5,4,9,6,9,8,6,4,4,6,4,4,3,4,2,6,0,3,4,1,22
N20000423,NI data zone,9,8,8,10,11,7,13,11,12,11,10,18,8,6,11,14,8,16,9,6,6,10,13,11,7,8,7,8,3,4,9,9,9,13,9,13,11,9,7,8,12,13,10,5,3,8,15,10,9,5,14,16,11,11,14,15,11,11,11,12,7,7,12,15,9,10,5,9,9,8,6,5,6,4,8,4,9,6,5,10,6,3,6,2,2,7
N20000424,NI data zone,9,7,13,11,10,13,7,9,11,9,9,8,8,14,5,14,16,8,14,7,8,16,10,10,8,14,6,8,1,13,10,11,6,10,10,15,16,13,4,6,5,7,12,7,7,5,6,5,8,19,17,12,18,10,13,12,11,14,20,15,10,17,14,8,10,7,14,7,10,3,5,7,8,2,5,12,0,0,3,3,2,2,2,2,2,17
N20000425,NI data zone,6,5,5,10,4,6,7,6,9,7,14,4,6,6,3,5,6,2,4,2,5,2,5,5,3,2,5,7,4,6,7,8,7,4,7,6,8,8,7,9,8,4,4,6,6,5,3,6,1,2,2,3,1,1,5,5,2,1,4,2,0,1,2,1,3,1,1,1,1,1,0,2,1,0,0,0,0,1,1,0,1,0,0,0,1,1
N20000426,NI data zone,8,9,15,6,9,11,10,10,11,15,14,17,8,10,12,9,6,7,6,4,2,3,6,7,7,9,5,3,4,5,12,8,4,10,9,10,14,8,11,4,9,7,11,3,9,12,11,8,11,7,13,7,9,6,10,4,8,9,4,7,2,4,2,2,5,2,7,2,2,1,4,2,0,0,3,1,0,1,1,0,0,0,2,0,1,1
N20000427,NI data zone,3,7,6,7,3,4,11,6,4,7,9,8,8,5,6,8,10,8,15,10,5,10,7,9,11,7,5,3,8,5,6,2,5,11,5,9,5,4,7,4,8,6,9,7,3,5,7,3,10,10,15,8,9,11,11,19,10,11,11,6,12,9,5,7,7,4,8,3,5,4,5,8,7,6,2,1,5,7,4,6,2,6,2,5,2,11
