dz_2021_code,type,white,asian,black,mixed,other
N20000360,NI data zone,402,0,0,0,1
N20000384,NI data zone,610,21,14,5,0
N20000392,NI data zone,516,13,0,7,0
N20000421,NI data zone,710,0,0,1,0
N20000422,NI data zone,793,0,1,2,0
N20000423,NI data zone,771,6,0,1,0
N20000424,NI data zone,789,1,2,0,2
N20000425,NI data zone,311,1,0,5,1
N20000426,NI data zone,550,0,0,0,0
N20000427,NI data zone,581,7,1,2,1
N20000428,NI data zone,839,5,2,6,2
N20000429,NI data zone,362,1,0,2,3
N20000430,NI data zone,440,3,8,3,0
N20000431,NI data zone,500,6,2,5,7
N20000432,NI data zone,555,1,7,5,6
N20000433,NI data zone,642,52,11,14,0
N20000434,NI data zone,507,17,26,7,56
N20000435,NI data zone,660,21,9,7,2
N20000436,NI data zone,455,12,7,5,2
N20000437,NI data zone,351,7,9,0,1
N20000438,NI data zone,324,32,3,0,4
N20000439,NI data zone,418,2,3,2,32
N20000440,NI data zone,371,2,22,7,4
N20000441,NI data zone,419,2,13,2,12
N20000442,NI data zone,444,6,9,0,12
N20000443,NI data zone,408,25,1,8,1
N20000444,NI data zone,351,16,31,8,2
N20000445,NI data zone,460,12,12,14,22
N20000446,NI data zone,599,52,7,9,0
N20000447,NI data zone,467,22,11,19,0
N20000448,NI data zone,566,3,0,4,9
N20000449,NI data zone,380,7,7,6,10
N20000450,NI data zone,283,16,7,7,0
N20000451,NI data zone,657,54,5,7,0
N20000452,NI data zone,404,15,0,3,0
N20000453,NI data zone,570,8,2,18,3
N20000454,NI data zone,314,5,0,1,2
N20000455,NI data zone,435,16,4,2,0
N20000456,NI data zone,380,35,1,6,0
N20000457,NI data zone,546,48,15,8,2
N20000458,NI data zone,393,8,1,1,1
N20000459,NI data zone,395,10,7,4,1
N20000460,NI data zone,620,68,2,19,0
N20000461,NI data zone,604,43,0,7,2
N20000462,NI data zone,466,14,3,6,0
N20000463,NI data zone,401,6,0,6,2
N20000464,NI data zone,485,32,3,3,0
N20000465,NI data zone,241,0,0,0,0
N20000466,NI data zone,486,3,11,4,0
N20000467,NI data zone,468,16,1,0,0
N20000468,NI data zone,438,12,3,7,0
N20000469,NI data zone,561,7,1,3,1
N20000470,NI data zone,438,20,0,7,1
N20000471,NI data zone,591,36,0,4,0
N20000472,NI data zone,559,40,1,9,2
N20000473,NI data zone,444,17,1,3,0
N20000474,NI data zone,702,21,0,1,1
N20000475,NI data zone,633,12,0,3,0
N20000477,NI data zone,562,3,1,0,0
N20000478,NI data zone,605,2,0,9,2
N20000479,NI data zone,379,0,0,3,0
N20000480,NI data zone,473,0,0,0,5
N20000481,NI data zone,661,0,0,0,0
N20000482,NI data zone,771,1,1,4,0
N20000483,NI data zone,678,0,0,4,0
N20000484,NI data zone,550,0,0,1,1
N20000485,NI data zone,632,0,0,0,0
N20000486,NI data zone,572,0,1,0,1
N20000487,NI data zone,540,0,0,0,0
N20000488,NI data zone,538,3,0,2,1
N20000489,NI data zone,440,1,0,1,0
N20000490,NI data zone,773,0,1,9,1
N20000491,NI data zone,429,5,0,3,0
N20000492,NI data zone,522,6,1,1,0
N20000493,NI data zone,587,0,3,0,0
N20000494,NI data zone,600,5,0,10,0
N20000495,NI data zone,646,0,0,4,0
N20000496,NI data zone,648,2,4,7,8
N20000497,NI data zone,459,1,3,4,0
N20000498,NI data zone,419,16,5,10,41
N20000499,NI data zone,554,0,0,0,2
N20000500,NI data zone,361,18,3,7,9
N20000501,NI data zone,543,3,0,2,0
N20000502,NI data zone,443,1,0,4,0
N20000503,NI data zone,405,0,1,0,1
N20000504,NI data zone,302,9,9,7,29
N20000505,NI data zone,325,12,2,2,4
N20000506,NI data zone,439,13,16,14,21
N20000507,NI data zone,644,4,5,6,1
N20000508,NI data zone,373,2,1,8,4
N20000509,NI data zone,315,12,1,1,5
N20000510,NI data zone,592,25,0,1,1
N20000511,NI data zone,529,0,0,6,0
N20000512,NI data zone,450,24,8,6,26
N20000513,NI data zone,371,1,6,4,2
N20000514,NI data zone,452,18,10,7,0
N20000515,NI data zone,499,4,5,15,1
N20000516,NI data zone,457,7,0,1,8
N20000517,NI data zone,483,6,0,4,0
N20000518,NI data zone,448,9,0,3,0
N20000519,NI data zone,280,17,4,6,8
N20000520,NI data zone,655,18,0,5,0
N20000521,NI data zone,655,4,5,1,10
N20000522,NI data zone,478,1,1,9,9
N20000523,NI data zone,418,10,6,4,12
N20000524,NI data zone,485,24,0,3,11
N20000525,NI data zone,389,11,5,5,0
N20000526,NI data zone,319,6,0,4,11
N20000527,NI data zone,477,24,7,5,14
N20000528,NI data zone,401,11,0,5,0
N20000529,NI data zone,445,12,0,0,2
N20000530,NI data zone,465,3,0,8,2
N20000531,NI data zone,400,0,1,5,3
N20000532,NI data zone,256,0,0,1,3
N20000533,NI data zone,324,5,1,7,0
N20000534,NI data zone,378,3,1,7,0
N20000535,NI data zone,460,9,5,8,0
N20000536,NI data zone,820,11,8,7,5
N20000537,NI data zone,474,16,5,1,1
N20000538,NI data zone,649,4,7,23,6
N20000539,NI data zone,429,2,0,0,1
N20000540,NI data zone,433,4,4,7,5
N20000541,NI data zone,486,0,0,0,0
N20000542,NI data zone,481,8,0,4,1
N20000543,NI data zone,500,0,0,5,2
N20000544,NI data zone,530,5,0,5,0
N20000545,NI data zone,443,2,0,5,0
N20000546,NI data zone,294,1,1,1,0
N20000547,NI data zone,537,4,3,4,0
N20000548,NI data zone,473,4,0,5,6
N20000549,NI data zone,620,6,2,4,6
N20000550,NI data zone,484,9,0,6,0
N20000551,NI data zone,613,3,0,6,2
N20000552,NI data zone,614,4,0,4,2
N20000553,NI data zone,699,4,0,6,2
N20000554,NI data zone,474,0,1,0,2
N20000555,NI data zone,507,2,0,4,0
N20000556,NI data zone,316,4,0,0,1
N20000557,NI data zone,424,13,0,3,0
N20000558,NI data zone,708,4,0,3,0
N20000559,NI data zone,451,11,0,0,0
N20000560,NI data zone,321,1,0,0,0
N20000561,NI data zone,771,1,1,2,1
N20000562,NI data zone,435,0,0,0,0
N20000563,NI data zone,687,5,1,7,1
N20000564,NI data zone,552,1,1,5,1
N20000565,NI data zone,558,0,4,10,0
N20000566,NI data zone,490,0,1,4,3
N20000567,NI data zone,681,1,0,2,0
N20000568,NI data zone,531,1,0,3,0
N20000569,NI data zone,678,2,0,3,1
N20000570,NI data zone,423,6,0,5,0
N20000571,NI data zone,610,4,4,1,0
N20000572,NI data zone,726,7,0,0,0
N20000573,NI data zone,712,5,0,6,3
N20000574,NI data zone,713,8,0,6,0
N20000575,NI data zone,587,0,1,4,2
N20000576,NI data zone,597,0,0,0,0
N20000577,NI data zone,483,1,0,3,1
N20000578,NI data zone,599,2,0,2,0
N20000579,NI data zone,604,1,0,3,0
N20000580,NI data zone,782,2,2,8,1
N20000581,NI data zone,415,0,0,6,0
N20000582,NI data zone,637,2,0,11,0
N20000583,NI data zone,517,0,0,0,0
N20000584,NI data zone,664,0,4,9,8
N20000585,NI data zone,469,1,0,5,4
N20000586,NI data zone,546,0,0,0,0
N20000587,NI data zone,734,8,0,0,4
N20000588,NI data zone,553,2,0,1,0
N20000589,NI data zone,453,2,0,0,2
N20000590,NI data zone,450,0,1,2,1
N20000591,NI data zone,448,0,2,1,0
N20000592,NI data zone,653,1,0,0,0
N20000593,NI data zone,606,0,0,2,0
N20000594,NI data zone,408,1,0,0,0
N20000595,NI data zone,602,3,1,6,3
N20000596,NI data zone,453,0,1,0,0
N20000597,NI data zone,327,2,0,2,5
N20000598,NI data zone,478,1,6,1,10
N20000599,NI data zone,482,1,0,7,1
N20000600,NI data zone,541,1,0,0,0
N20000601,NI data zone,431,2,5,6,0
N20000602,NI data zone,465,3,0,5,0
N20000603,NI data zone,594,11,0,0,0
N20000604,NI data zone,297,3,0,2,0
N20000605,NI data zone,391,0,0,0,0
N20000606,NI data zone,399,0,1,0,0
N20000607,NI data zone,298,0,3,3,1
N20000608,NI data zone,432,5,0,12,0
N20000609,NI data zone,616,15,0,1,0
N20000610,NI data zone,524,6,6,6,0
N20000611,NI data zone,402,4,2,2,1
N20000612,NI data zone,433,18,0,1,3
N20000613,NI data zone,322,1,2,1,2
N20000614,NI data zone,782,0,0,1,0
N20000615,NI data zone,372,10,5,6,19
N20000616,NI data zone,327,9,5,0,2
N20000617,NI data zone,326,2,1,1,0
N20000618,NI data zone,397,13,2,1,7
N20000619,NI data zone,378,0,2,0,10
