dz_2021_code,type,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
N20000360,NI data zone,402,1,0,0,0,0,0,0,0,0,0,0,0
N20000384,NI data zone,610,0,0,11,3,3,0,0,4,11,3,5,0
N20000392,NI data zone,516,0,0,0,5,3,0,1,4,0,0,7,0
N20000421,NI data zone,710,0,0,0,0,0,0,0,0,0,0,1,0
N20000422,NI data zone,793,0,0,0,0,0,0,0,0,0,1,2,0
N20000423,NI data zone,771,0,0,5,0,0,0,0,1,0,0,1,0
N20000424,NI data zone,789,0,0,0,0,0,0,0,1,2,0,0,2
N20000425,NI data zone,311,0,0,0,0,0,0,1,0,0,0,5,1
N20000426,NI data zone,550,0,0,0,0,0,0,0,0,0,0,0,0
N20000427,NI data zone,581,1,0,0,0,0,6,1,1,0,1,2,0
N20000428,NI data zone,839,0,0,1,2,0,0,0,2,1,1,6,2
N20000429,NI data zone,362,0,0,0,0,1,0,0,0,0,0,2,3
N20000430,NI data zone,440,0,0,3,0,0,0,0,0,8,0,3,0
N20000431,NI data zone,500,6,0,4,0,0,2,0,0,2,0,5,1
N20000432,NI data zone,555,6,0,0,0,1,0,0,0,7,0,5,0
N20000433,NI data zone,642,0,0,6,21,7,13,0,5,11,0,14,0
N20000434,NI data zone,507,56,0,0,0,4,0,4,9,14,11,7,0
N20000435,NI data zone,660,1,0,0,3,8,5,0,5,7,2,7,1
N20000436,NI data zone,455,0,2,0,1,0,0,0,11,7,0,5,0
N20000437,NI data zone,351,0,0,1,2,0,0,0,4,6,3,0,1
N20000438,NI data zone,324,0,0,5,16,6,0,0,7,3,0,0,4
N20000439,NI data zone,418,32,0,0,0,2,0,0,0,2,1,2,0
N20000440,NI data zone,371,0,0,0,0,0,0,0,2,11,11,7,4
N20000441,NI data zone,419,11,1,2,0,0,0,0,0,6,7,2,0
N20000442,NI data zone,444,12,0,0,5,0,0,0,1,8,1,0,0
N20000443,NI data zone,408,0,0,18,4,3,0,0,0,1,0,8,1
N20000444,NI data zone,351,1,0,3,0,9,3,0,0,26,6,8,1
N20000445,NI data zone,460,17,0,0,11,1,0,0,0,12,0,14,5
N20000446,NI data zone,599,0,0,17,6,29,0,0,0,6,1,9,0
N20000447,NI data zone,467,0,0,0,20,0,0,0,2,11,0,19,0
N20000448,NI data zone,566,7,0,0,0,3,0,0,0,0,0,4,2
N20000449,NI data zone,380,9,0,4,0,0,6,0,0,0,7,6,1
N20000450,NI data zone,283,0,0,8,8,0,0,0,0,7,0,7,0
N20000451,NI data zone,657,0,0,19,1,33,0,0,1,5,0,7,0
N20000452,NI data zone,404,0,0,9,0,0,5,0,1,0,0,3,0
N20000453,NI data zone,570,3,0,0,0,2,6,0,0,1,1,18,0
N20000454,NI data zone,314,0,0,0,1,0,4,0,0,0,0,1,2
N20000455,NI data zone,435,0,0,7,6,0,0,0,7,4,0,2,0
N20000456,NI data zone,380,0,0,22,0,6,0,0,8,1,0,6,0
N20000457,NI data zone,546,1,0,37,5,5,0,1,0,13,2,8,1
N20000458,NI data zone,393,0,1,0,3,0,5,0,0,0,1,1,0
N20000459,NI data zone,395,0,0,4,0,6,0,0,0,7,0,4,1
N20000460,NI data zone,620,0,0,19,23,18,0,0,6,1,1,19,0
N20000461,NI data zone,604,0,0,9,5,19,0,9,1,0,0,7,2
N20000462,NI data zone,466,0,0,0,12,1,1,0,0,1,2,6,0
N20000463,NI data zone,401,0,1,0,0,0,1,0,4,0,0,6,1
N20000464,NI data zone,485,0,0,4,25,0,0,0,3,2,1,3,0
N20000465,NI data zone,241,0,0,0,0,0,0,0,0,0,0,0,0
N20000466,NI data zone,486,0,0,1,0,2,0,0,0,6,5,4,0
N20000467,NI data zone,468,0,0,0,0,0,16,0,0,0,1,0,0
N20000468,NI data zone,438,0,0,5,7,0,0,0,0,3,0,7,0
N20000469,NI data zone,561,0,0,2,0,3,0,0,1,1,0,3,1
N20000470,NI data zone,438,0,0,20,0,0,0,0,0,0,0,7,1
N20000471,NI data zone,591,0,0,0,25,0,5,0,6,0,0,4,0
N20000472,NI data zone,559,0,0,31,4,0,0,4,1,0,1,9,2
N20000473,NI data zone,444,0,0,0,0,0,16,0,1,1,0,3,0
N20000474,NI data zone,702,0,0,5,0,3,12,0,0,0,0,1,1
N20000475,NI data zone,633,0,0,3,7,0,0,0,2,0,0,3,0
N20000477,NI data zone,562,0,0,0,0,0,0,1,2,0,1,0,0
N20000478,NI data zone,605,0,0,0,1,0,1,0,0,0,0,9,2
N20000479,NI data zone,379,0,0,0,0,0,0,0,0,0,0,3,0
N20000480,NI data zone,473,0,0,0,0,0,0,0,0,0,0,0,5
N20000481,NI data zone,661,0,0,0,0,0,0,0,0,0,0,0,0
N20000482,NI data zone,771,0,0,0,0,0,0,1,0,0,1,4,0
N20000483,NI data zone,678,0,0,0,0,0,0,0,0,0,0,4,0
