dz_2021_code,type,very_good,good,fair,bad,very_bad
N20000360,NI data zone,235,96,53,15,3
N20000384,NI data zone,331,210,74,26,9
N20000392,NI data zone,218,155,98,49,16
N20000421,NI data zone,394,210,74,29,5
N20000422,NI data zone,454,216,86,35,5
N20000423,NI data zone,422,212,95,37,12
N20000424,NI data zone,442,217,104,25,6
N20000425,NI data zone,169,100,34,12,3
N20000426,NI data zone,332,151,40,18,8
N20000427,NI data zone,279,171,99,35,8
N20000428,NI data zone,432,248,116,43,15
N20000429,NI data zone,154,135,48,26,6
N20000430,NI data zone,261,128,40,13,12
N20000431,NI data zone,209,129,105,59,18
N20000432,NI data zone,224,153,116,60,23
N20000433,NI data zone,403,217,65,27,7
N20000434,NI data zone,269,194,76,58,16
N20000435,NI data zone,330,239,78,41,11
N20000436,NI data zone,282,140,40,13,5
N20000437,NI data zone,127,112,80,39,7
N20000438,NI data zone,189,121,33,14,5
N20000439,NI data zone,163,113,94,61,25
N20000440,NI data zone,139,134,78,43,12
N20000441,NI data zone,192,123,84,43,6
N20000442,NI data zone,216,127,76,43,9
N20000443,NI data zone,282,137,18,6,0
N20000444,NI data zone,222,145,32,7,2
N20000445,NI data zone,219,153,76,56,18
N20000446,NI data zone,377,211,55,20,4
N20000447,NI data zone,281,182,38,13,4
N20000448,NI data zone,337,151,54,33,7
N20000449,NI data zone,189,117,77,25,6
N20000450,NI data zone,154,83,55,17,4
N20000451,NI data zone,374,235,86,19,8
N20000452,NI data zone,215,129,48,18,12
N20000453,NI data zone,361,162,41,33,4
N20000454,NI data zone,156,82,56,16,11
N20000455,NI data zone,267,130,44,11,6
N20000456,NI data zone,204,127,64,22,6
N20000457,NI data zone,322,180,82,26,8
N20000458,NI data zone,173,143,60,23,5
N20000459,NI data zone,202,115,57,31,12
N20000460,NI data zone,429,202,48,21,6
N20000461,NI data zone,437,167,41,7,4
N20000462,NI data zone,271,141,54,20,3
N20000463,NI data zone,164,140,72,26,12
N20000464,NI data zone,332,133,40,16,2
N20000465,NI data zone,95,74,44,18,10
N20000466,NI data zone,196,138,96,57,17
N20000467,NI data zone,241,165,47,20,11
N20000468,NI data zone,204,137,71,38,9
N20000469,NI data zone,278,184,82,24,5
N20000470,NI data zone,268,145,34,15,4
N20000471,NI data zone,396,162,51,19,3
N20000472,NI data zone,290,148,105,53,14
N20000473,NI data zone,288,115,46,13,4
N20000474,NI data zone,388,219,81,25,11
N20000475,NI data zone,415,168,51,12,2
N20000477,NI data zone,327,140,64,27,8
N20000478,NI data zone,363,169,50,27,9
N20000479,NI data zone,169,108,66,25,14
N20000480,NI data zone,305,119,39,11,4
N20000481,NI data zone,359,177,83,38,4
N20000482,NI data zone,460,198,80,34,5
N20000483,NI data zone,462,169,41,7,3
N20000484,NI data zone,307,158,52,27,7
N20000485,NI data zone,387,132,74,30,10
N20000486,NI data zone,351,163,39,16,5
N20000487,NI data zone,318,138,56,23,5
N20000488,NI data zone,332,135,53,24,2
N20000489,NI data zone,198,152,63,20,9
N20000490,NI data zone,324,192,137,88,44
N20000491,NI data zone,169,122,95,40,11
N20000492,NI data zone,255,159,79,24,11
N20000493,NI data zone,289,185,75,26,17
N20000494,NI data zone,261,127,118,77,30
N20000495,NI data zone,446,145,37,19,5
N20000496,NI data zone,362,199,69,29,11
N20000497,NI data zone,329,110,22,5,1
N20000498,NI data zone,237,121,83,37,13
N20000499,NI data zone,329,160,42,18,7
N20000500,NI data zone,203,103,69,15,8
N20000501,NI data zone,374,148,17,7,2
N20000502,NI data zone,223,139,65,16,6
N20000503,NI data zone,163,101,82,45,16
N20000504,NI data zone,183,99,47,22,6
N20000505,NI data zone,119,90,71,44,18
N20000506,NI data zone,228,141,83,42,8
N20000507,NI data zone,318,208,92,35,8
N20000508,NI data zone,148,128,62,37,12
N20000509,NI data zone,132,98,42,49,13
N20000510,NI data zone,338,183,72,19,6
N20000511,NI data zone,207,145,93,66,25
N20000512,NI data zone,227,151,78,44,13
N20000513,NI data zone,215,120,36,10,0
N20000514,NI data zone,273,133,60,16,5
N20000515,NI data zone,211,164,96,42,13
N20000516,NI data zone,174,129,92,54,25
N20000517,NI data zone,229,129,76,45,16
N20000518,NI data zone,225,135,65,26,8
N20000519,NI data zone,124,89,55,37,10
N20000520,NI data zone,374,193,80,27,3
N20000521,NI data zone,391,176,71,27,10
N20000522,NI data zone,244,138,82,25,9
N20000523,NI data zone,188,151,65,38,5
N20000524,NI data zone,157,115,132,78,37
N20000525,NI data zone,126,106,98,60,20
N20000526,NI data zone,169,105,40,23,4
N20000527,NI data zone,243,157,85,32,10
N20000528,NI data zone,173,116,77,41,10
