dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000360,NI data zone,24,32,111,35,201
N20000384,NI data zone,32,73,177,28,339
N20000392,NI data zone,19,52,114,15,337
N20000421,NI data zone,20,72,229,37,354
N20000422,NI data zone,45,85,264,47,355
N20000423,NI data zone,45,68,230,34,401
N20000424,NI data zone,42,69,265,35,383
N20000425,NI data zone,12,30,101,10,165
N20000426,NI data zone,20,62,185,17,264
N20000427,NI data zone,36,59,158,13,327
N20000428,NI data zone,37,93,268,21,434
N20000429,NI data zone,26,34,90,8,210
N20000430,NI data zone,17,55,145,24,214
N20000431,NI data zone,17,43,80,8,372
N20000432,NI data zone,14,42,89,9,424
N20000433,NI data zone,31,65,256,21,346
N20000434,NI data zone,17,43,116,12,425
N20000435,NI data zone,32,67,208,24,368
N20000436,NI data zone,17,57,197,18,194
N20000437,NI data zone,16,28,74,7,243
N20000438,NI data zone,11,34,141,19,158
N20000439,NI data zone,12,33,81,9,321
N20000440,NI data zone,12,35,104,9,246
N20000441,NI data zone,17,44,115,10,262
N20000442,NI data zone,12,46,91,11,311
N20000443,NI data zone,10,43,199,15,177
N20000444,NI data zone,19,48,155,20,166
N20000445,NI data zone,21,43,118,11,327
N20000446,NI data zone,22,50,253,31,311
N20000447,NI data zone,24,45,222,23,206
N20000448,NI data zone,32,64,179,16,291
N20000449,NI data zone,14,46,97,7,249
N20000450,NI data zone,9,35,95,14,160
N20000451,NI data zone,31,62,233,18,377
N20000452,NI data zone,23,40,139,9,209
N20000453,NI data zone,21,65,173,10,331
N20000454,NI data zone,10,44,74,5,189
N20000455,NI data zone,13,24,177,25,220
N20000456,NI data zone,17,26,132,10,237
N20000457,NI data zone,26,45,191,28,329
N20000458,NI data zone,17,36,119,16,216
N20000459,NI data zone,15,35,121,12,234
N20000460,NI data zone,28,63,253,34,329
N20000461,NI data zone,22,59,271,22,281
N20000462,NI data zone,22,54,150,20,243
N20000463,NI data zone,16,36,110,9,241
N20000464,NI data zone,24,43,143,21,293
N20000465,NI data zone,7,24,60,5,145
N20000466,NI data zone,16,46,117,14,311
N20000467,NI data zone,35,44,149,17,240
N20000468,NI data zone,16,38,126,8,272
N20000469,NI data zone,26,47,174,20,306
N20000470,NI data zone,19,46,166,13,224
N20000471,NI data zone,25,59,206,30,311
N20000472,NI data zone,30,43,187,18,333
N20000473,NI data zone,20,39,158,27,225
N20000474,NI data zone,43,83,219,43,336
N20000475,NI data zone,24,66,212,39,307
N20000477,NI data zone,19,57,156,45,287
N20000478,NI data zone,36,51,208,34,289
N20000479,NI data zone,9,37,104,10,222
N20000480,NI data zone,27,46,169,30,206
N20000481,NI data zone,47,54,175,27,359
N20000482,NI data zone,37,77,235,42,384
N20000483,NI data zone,22,46,297,24,293
N20000484,NI data zone,35,55,192,13,257
N20000485,NI data zone,25,62,194,23,329
N20000486,NI data zone,22,39,228,25,260
N20000487,NI data zone,29,58,201,23,229
N20000488,NI data zone,32,54,151,33,276
N20000489,NI data zone,24,43,122,15,238
N20000490,NI data zone,36,64,144,5,537
N20000491,NI data zone,18,34,87,1,295
N20000492,NI data zone,24,59,175,12,259
N20000493,NI data zone,41,50,189,24,289
N20000494,NI data zone,19,56,112,11,418
N20000495,NI data zone,44,65,192,31,318
N20000496,NI data zone,26,63,229,30,323
N20000497,NI data zone,22,40,175,24,206
N20000498,NI data zone,15,42,129,21,284
N20000499,NI data zone,28,65,155,19,289
N20000500,NI data zone,17,37,125,11,208
N20000501,NI data zone,10,47,234,33,224
N20000502,NI data zone,21,50,161,21,196
N20000503,NI data zone,13,30,100,8,256
N20000504,NI data zone,13,32,98,11,202
N20000505,NI data zone,7,36,87,4,207
N20000506,NI data zone,14,37,134,11,306
N20000507,NI data zone,33,53,189,19,367
N20000508,NI data zone,12,41,108,2,224
N20000509,NI data zone,12,29,88,1,204
N20000510,NI data zone,31,73,194,26,295
N20000511,NI data zone,28,42,127,8,330
N20000512,NI data zone,19,45,138,8,303
N20000513,NI data zone,26,24,114,26,194
N20000514,NI data zone,18,42,165,19,243
N20000515,NI data zone,26,23,147,17,313
N20000516,NI data zone,11,38,90,3,329
N20000517,NI data zone,19,42,138,11,284
N20000518,NI data zone,24,55,130,19,233
N20000519,NI data zone,10,24,81,9,191
N20000520,NI data zone,28,60,221,32,336
N20000521,NI data zone,32,63,187,56,337
N20000522,NI data zone,28,44,133,11,282
N20000523,NI data zone,26,34,120,12,252
N20000524,NI data zone,13,25,74,11,399
N20000525,NI data zone,12,22,91,7,278
N20000526,NI data zone,19,35,102,16,171
N20000527,NI data zone,13,43,138,10,323
N20000528,NI data zone,19,39,95,7,258
N20000529,NI data zone,19,39,126,14,262
N20000530,NI data zone,13,46,173,8,236
N20000531,NI data zone,15,39,137,10,208
N20000532,NI data zone,4,18,51,6,182
N20000533,NI data zone,10,20,108,12,187
N20000534,NI data zone,18,38,104,14,215
N20000535,NI data zone,18,43,170,16,234
N20000536,NI data zone,22,90,277,22,440
N20000537,NI data zone,23,44,150,10,270
N20000538,NI data zone,36,81,188,13,371
N20000539,NI data zone,13,32,100,4,283
N20000540,NI data zone,13,39,133,12,256
N20000541,NI data zone,12,60,116,8,290
N20000542,NI data zone,26,56,148,20,244
N20000543,NI data zone,25,57,110,8,310
N20000544,NI data zone,23,47,148,13,309
N20000545,NI data zone,17,52,131,17,233
N20000546,NI data zone,16,26,83,6,163
N20000547,NI data zone,23,48,137,19,321
N20000548,NI data zone,10,39,149,9,282
N20000549,NI data zone,29,65,173,18,354
N20000550,NI data zone,21,49,193,31,205
N20000551,NI data zone,19,59,148,36,362
N20000552,NI data zone,27,53,191,32,321
N20000553,NI data zone,33,68,238,36,337
