dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000360,NI data zone,15,13,21,42,18,1,6,12,7
N20000384,NI data zone,45,25,29,64,20,10,7,33,9
N20000392,NI data zone,49,60,22,34,17,21,17,30,9
N20000421,NI data zone,15,27,37,85,23,11,9,18,11
N20000422,NI data zone,18,16,47,78,42,6,18,24,14
N20000423,NI data zone,26,18,29,77,43,7,15,30,14
N20000424,NI data zone,22,22,29,83,45,4,14,29,12
N20000425,NI data zone,8,35,14,32,3,16,1,4,6
N20000426,NI data zone,11,18,23,66,22,16,8,5,8
N20000427,NI data zone,22,18,23,46,31,14,17,25,10
N20000428,NI data zone,19,39,34,70,52,20,17,38,13
N20000429,NI data zone,15,26,18,22,16,23,6,13,9
N20000430,NI data zone,11,12,26,59,15,9,9,18,1
N20000431,NI data zone,18,25,11,37,16,38,22,14,13
N20000432,NI data zone,24,28,15,34,19,40,22,18,14
N20000433,NI data zone,11,31,47,78,22,23,17,13,10
N20000434,NI data zone,30,34,17,44,13,40,12,15,15
N20000435,NI data zone,7,63,39,65,16,43,6,12,10
N20000436,NI data zone,7,26,29,77,8,6,5,9,6
N20000437,NI data zone,32,48,10,23,13,15,12,11,10
N20000438,NI data zone,8,38,20,45,6,14,6,4,7
N20000439,NI data zone,19,46,13,27,19,29,19,13,4
N20000440,NI data zone,28,37,11,28,13,22,16,8,11
N20000441,NI data zone,29,31,20,35,13,13,9,32,9
N20000442,NI data zone,14,41,12,38,9,32,17,10,8
N20000443,NI data zone,0,24,38,68,4,12,2,8,7
N20000444,NI data zone,1,24,26,46,7,14,5,8,15
N20000445,NI data zone,21,47,24,37,15,27,19,9,12
N20000446,NI data zone,11,42,42,70,17,21,7,15,19
N20000447,NI data zone,6,35,56,59,11,9,11,5,6
N20000448,NI data zone,8,34,28,74,9,24,9,8,9
N20000449,NI data zone,12,32,16,37,3,31,9,11,8
