dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000360,NI data zone,58,37,32,5,2
N20000384,NI data zone,112,85,44,5,0
N20000392,NI data zone,60,82,68,39,10
N20000421,NI data zone,123,76,35,4,0
N20000422,NI data zone,115,92,49,6,1
N20000423,NI data zone,113,72,64,10,1
N20000424,NI data zone,117,86,46,11,0
N20000425,NI data zone,63,35,17,4,0
N20000426,NI data zone,105,45,25,2,0
N20000427,NI data zone,70,77,52,10,0
N20000428,NI data zone,128,85,74,14,1
N20000429,NI data zone,49,56,33,10,0
N20000430,NI data zone,81,51,22,6,0
N20000431,NI data zone,38,52,68,35,0
N20000432,NI data zone,31,60,84,37,1
N20000433,NI data zone,136,76,34,8,0
N20000434,NI data zone,49,77,67,26,2
N20000435,NI data zone,115,77,41,24,4
N20000436,NI data zone,101,52,17,3,0
N20000437,NI data zone,36,59,49,23,5
N20000438,NI data zone,80,45,18,5,0
N20000439,NI data zone,31,45,65,42,5
N20000440,NI data zone,38,48,59,25,2
N20000441,NI data zone,69,65,44,11,2
N20000442,NI data zone,40,74,46,21,1
N20000443,NI data zone,117,36,7,3,0
N20000444,NI data zone,82,52,10,3,1
N20000445,NI data zone,54,69,57,24,7
N20000446,NI data zone,130,87,23,6,0
N20000447,NI data zone,123,54,18,5,0
N20000448,NI data zone,103,56,37,4,1
N20000449,NI data zone,58,48,37,18,2
N20000450,NI data zone,57,45,28,3,0
N20000451,NI data zone,125,93,33,5,0
N20000452,NI data zone,67,54,28,11,2
N20000453,NI data zone,90,61,26,9,0
N20000454,NI data zone,43,46,33,11,1
N20000455,NI data zone,123,25,5,1,0
N20000456,NI data zone,75,57,24,6,0
N20000457,NI data zone,118,74,33,11,0
N20000458,NI data zone,66,51,31,15,0
N20000459,NI data zone,85,54,47,8,0
N20000460,NI data zone,177,70,17,5,0
N20000461,NI data zone,177,50,19,3,1
N20000462,NI data zone,109,56,26,4,0
N20000463,NI data zone,80,76,37,10,0
N20000464,NI data zone,121,53,15,1,0
N20000465,NI data zone,29,42,24,10,0
N20000466,NI data zone,56,75,69,23,1
N20000467,NI data zone,85,57,30,9,0
N20000468,NI data zone,55,75,53,21,1
N20000469,NI data zone,113,88,32,10,0
N20000470,NI data zone,88,59,14,6,0
N20000471,NI data zone,115,61,24,0,0
N20000472,NI data zone,95,63,47,9,0
N20000473,NI data zone,100,40,20,3,0
N20000474,NI data zone,134,89,40,8,0
N20000475,NI data zone,153,50,18,3,0
N20000477,NI data zone,105,52,26,16,0
N20000478,NI data zone,117,59,30,8,0
N20000479,NI data zone,44,46,50,7,3
N20000480,NI data zone,94,44,12,5,0
N20000481,NI data zone,103,76,48,9,0
N20000482,NI data zone,130,90,34,6,0
N20000483,NI data zone,175,36,19,2,0
N20000484,NI data zone,89,77,33,5,0
N20000485,NI data zone,100,72,37,7,0
N20000486,NI data zone,127,53,23,6,0
N20000487,NI data zone,101,60,26,5,0
N20000488,NI data zone,97,63,20,6,0
N20000489,NI data zone,68,59,27,10,0
N20000490,NI data zone,59,83,97,56,9
N20000491,NI data zone,40,59,60,29,2
N20000492,NI data zone,66,73,46,10,0
N20000493,NI data zone,114,88,33,5,0
N20000494,NI data zone,37,66,87,50,2
N20000495,NI data zone,110,55,22,4,0
N20000496,NI data zone,136,72,36,13,0
N20000497,NI data zone,109,28,6,1,0
N20000498,NI data zone,64,76,73,28,4
N20000499,NI data zone,104,50,19,9,0
N20000500,NI data zone,60,53,44,13,0
N20000501,NI data zone,161,33,9,0,0
N20000502,NI data zone,89,69,25,2,0
N20000503,NI data zone,53,54,66,23,1
N20000504,NI data zone,52,59,33,15,1
N20000505,NI data zone,56,63,62,29,3
N20000506,NI data zone,64,78,65,41,6
N20000507,NI data zone,123,73,69,15,0
N20000508,NI data zone,40,56,39,28,4
N20000509,NI data zone,40,38,37,42,0
N20000510,NI data zone,119,70,31,2,0
N20000511,NI data zone,56,58,66,35,1
N20000512,NI data zone,65,80,56,36,1
N20000513,NI data zone,81,52,18,2,0
N20000514,NI data zone,94,49,28,7,0
N20000515,NI data zone,75,77,76,30,5
N20000516,NI data zone,53,64,76,41,5
N20000517,NI data zone,75,74,52,31,4
N20000518,NI data zone,75,62,33,4,0
N20000519,NI data zone,40,55,43,25,1
N20000520,NI data zone,133,75,30,4,0
N20000521,NI data zone,130,77,35,3,0
N20000522,NI data zone,67,73,43,10,0
N20000523,NI data zone,77,73,40,17,0
N20000524,NI data zone,39,54,88,78,17
N20000525,NI data zone,40,77,84,33,3
N20000526,NI data zone,52,73,34,14,2
N20000527,NI data zone,69,80,49,34,8
N20000528,NI data zone,61,49,50,27,2
N20000529,NI data zone,79,53,47,13,1
N20000530,NI data zone,100,45,14,4,0
N20000531,NI data zone,64,62,28,4,6
N20000532,NI data zone,21,34,66,32,10
N20000533,NI data zone,61,59,44,8,1
N20000534,NI data zone,56,61,40,19,4
N20000535,NI data zone,94,37,32,7,1
N20000536,NI data zone,119,78,60,16,0
N20000537,NI data zone,76,80,55,10,0
N20000538,NI data zone,108,57,34,23,1
N20000539,NI data zone,42,66,63,19,0
N20000540,NI data zone,49,82,42,19,1
N20000541,NI data zone,52,69,63,31,1
N20000542,NI data zone,92,71,39,6,0
N20000543,NI data zone,45,62,50,31,0
N20000544,NI data zone,80,80,56,17,1
N20000545,NI data zone,88,54,28,3,0
N20000546,NI data zone,32,59,38,8,0
N20000547,NI data zone,106,80,39,1,0
N20000548,NI data zone,48,79,65,16,4
N20000549,NI data zone,134,88,30,8,0
N20000550,NI data zone,116,43,10,2,0
N20000551,NI data zone,127,83,37,10,1
N20000552,NI data zone,127,85,31,4,0
N20000553,NI data zone,153,76,44,10,0
N20000554,NI data zone,111,53,16,3,0
N20000555,NI data zone,100,63,39,15,0
N20000556,NI data zone,84,37,25,2,0
N20000557,NI data zone,87,46,28,2,0
