dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000360,NI data zone,180,18,116,5,41,0,35,8
N20000384,NI data zone,58,96,161,57,112,13,143,11
N20000392,NI data zone,41,74,164,50,63,2,129,13
N20000421,NI data zone,508,13,64,17,58,1,41,12
N20000422,NI data zone,602,12,48,0,99,3,28,4
N20000423,NI data zone,711,11,17,1,3,7,25,3
N20000424,NI data zone,642,20,28,8,33,5,52,6
N20000425,NI data zone,236,10,6,3,7,5,44,7
N20000426,NI data zone,515,1,5,1,3,0,21,3
N20000427,NI data zone,527,2,3,0,7,7,40,6
N20000428,NI data zone,757,11,15,6,10,3,50,2
N20000429,NI data zone,319,13,0,0,8,0,27,1
N20000430,NI data zone,91,49,88,73,94,10,47,3
N20000431,NI data zone,455,3,3,1,7,1,39,11
N20000432,NI data zone,518,4,3,0,6,0,38,7
N20000433,NI data zone,387,27,38,7,27,21,206,5
N20000434,NI data zone,288,38,83,6,25,8,135,28
N20000435,NI data zone,475,5,26,0,21,13,135,23
N20000436,NI data zone,261,15,51,4,14,8,125,3
N20000437,NI data zone,180,30,34,1,24,4,88,7
N20000438,NI data zone,175,20,35,8,11,6,105,5
N20000439,NI data zone,389,5,2,1,3,0,45,12
N20000440,NI data zone,78,55,82,3,58,0,119,12
N20000441,NI data zone,291,21,20,2,15,3,89,7
N20000442,NI data zone,349,16,19,2,12,2,67,3
N20000443,NI data zone,145,26,72,12,69,21,94,3
N20000444,NI data zone,196,20,19,3,36,10,123,1
N20000445,NI data zone,295,9,39,4,14,0,139,20
N20000446,NI data zone,211,75,151,16,52,6,145,11
N20000447,NI data zone,193,53,51,10,32,16,157,9
N20000448,NI data zone,450,7,15,0,22,4,80,6
N20000449,NI data zone,325,3,14,2,9,12,48,2
N20000450,NI data zone,28,38,112,32,36,9,58,0
N20000451,NI data zone,157,76,181,32,113,8,150,5
N20000452,NI data zone,318,1,5,2,7,17,73,0
N20000453,NI data zone,467,11,22,0,11,20,61,9
N20000454,NI data zone,253,5,16,1,3,6,37,1
N20000455,NI data zone,85,58,114,27,53,11,103,7
N20000456,NI data zone,53,47,132,33,47,25,84,1
N20000457,NI data zone,72,97,142,41,102,26,131,7
N20000458,NI data zone,159,44,67,18,28,7,75,6
N20000459,NI data zone,73,39,108,28,60,7,94,7
N20000460,NI data zone,98,85,157,37,114,16,196,3
N20000461,NI data zone,99,96,136,33,119,18,143,13
N20000462,NI data zone,22,103,147,43,69,13,91,0
N20000463,NI data zone,22,82,108,40,80,5,71,6
N20000464,NI data zone,51,96,138,44,83,9,95,8
N20000465,NI data zone,105,34,50,4,8,0,38,1
N20000466,NI data zone,34,70,153,30,85,7,116,9
N20000467,NI data zone,211,29,87,6,54,16,73,10
N20000468,NI data zone,67,50,110,29,59,3,142,1
N20000469,NI data zone,49,117,184,49,62,7,99,6
N20000470,NI data zone,36,68,152,21,91,5,87,5
N20000471,NI data zone,17,128,175,74,100,1,134,2
N20000472,NI data zone,58,92,167,38,107,23,104,22
N20000473,NI data zone,132,68,97,4,66,18,71,10
N20000474,NI data zone,94,146,225,43,110,19,82,6
N20000475,NI data zone,46,146,170,71,92,10,107,6
N20000477,NI data zone,496,11,5,1,4,3,41,5
N20000478,NI data zone,480,17,14,20,26,3,52,5
N20000479,NI data zone,353,0,1,0,2,0,25,1
N20000480,NI data zone,441,3,2,1,3,2,25,0
N20000481,NI data zone,586,2,9,3,6,0,52,4
N20000482,NI data zone,444,75,102,8,25,1,115,7
N20000483,NI data zone,618,1,5,0,6,6,44,3
N20000484,NI data zone,474,4,10,3,2,0,46,10
N20000485,NI data zone,582,1,3,1,2,1,40,2
N20000486,NI data zone,519,1,2,2,8,1,35,7
N20000487,NI data zone,510,2,2,0,6,1,17,2
N20000488,NI data zone,283,35,86,8,46,15,67,4
N20000489,NI data zone,410,3,5,0,2,0,20,2
N20000490,NI data zone,712,3,6,1,10,0,47,7
N20000491,NI data zone,402,0,3,0,3,0,16,13
N20000492,NI data zone,481,1,1,0,0,6,26,15
N20000493,NI data zone,514,2,7,0,1,3,55,11
N20000494,NI data zone,567,2,2,0,11,0,17,16
N20000495,NI data zone,579,6,3,0,8,3,45,6
N20000496,NI data zone,536,1,8,0,7,2,106,9
N20000497,NI data zone,438,2,3,1,1,0,19,3
N20000498,NI data zone,291,5,10,2,58,12,87,26
N20000499,NI data zone,526,1,3,0,1,1,18,6
N20000500,NI data zone,290,2,6,2,24,8,60,6
N20000501,NI data zone,127,74,112,13,81,2,136,3
N20000502,NI data zone,119,40,132,14,31,4,105,2
N20000503,NI data zone,361,1,3,1,0,0,34,7
N20000504,NI data zone,251,2,2,0,31,6,54,10
N20000505,NI data zone,272,5,4,0,0,15,40,6
N20000506,NI data zone,361,0,12,1,20,10,80,18
N20000507,NI data zone,168,69,172,9,86,0,141,16
N20000508,NI data zone,314,0,2,1,22,2,40,6
N20000509,NI data zone,251,2,3,0,22,0,43,13
N20000510,NI data zone,66,76,182,10,118,21,130,17
N20000511,NI data zone,482,1,2,0,2,1,42,6
N20000512,NI data zone,349,18,15,0,16,25,85,5
N20000513,NI data zone,130,46,90,14,34,4,60,6
N20000514,NI data zone,110,49,124,18,56,6,114,10
N20000515,NI data zone,163,48,85,8,45,13,146,18
N20000516,NI data zone,379,7,14,1,6,13,49,4
N20000517,NI data zone,36,64,187,18,92,6,79,12
N20000518,NI data zone,17,80,166,24,76,12,72,15
N20000519,NI data zone,44,35,101,8,27,15,76,9
N20000520,NI data zone,41,92,227,18,123,12,159,5
N20000521,NI data zone,212,91,169,9,98,3,91,1
N20000522,NI data zone,443,1,4,0,3,7,28,12
N20000523,NI data zone,51,77,131,27,62,14,76,10
N20000524,NI data zone,359,11,32,3,10,30,55,21
N20000525,NI data zone,211,27,72,5,19,1,72,5
N20000526,NI data zone,58,47,55,4,42,19,106,9
N20000527,NI data zone,135,56,89,18,44,25,153,8
N20000528,NI data zone,362,9,1,1,5,4,23,11
N20000529,NI data zone,79,59,99,15,67,14,115,11
N20000530,NI data zone,434,4,1,0,13,0,25,1
N20000531,NI data zone,23,84,113,22,71,3,89,4
N20000532,NI data zone,196,1,3,2,14,2,35,7
N20000533,NI data zone,36,41,84,13,44,7,101,11
N20000534,NI data zone,68,45,97,15,36,3,120,5
N20000535,NI data zone,386,5,6,3,10,11,52,9
N20000536,NI data zone,655,11,29,4,23,7,104,18
N20000537,NI data zone,38,69,154,14,77,4,130,9
N20000538,NI data zone,597,1,12,0,14,6,49,11
N20000539,NI data zone,62,65,133,18,55,3,92,5
N20000540,NI data zone,102,50,102,12,60,0,122,5
N20000541,NI data zone,430,1,5,0,4,1,38,4
N20000542,NI data zone,60,48,175,27,73,4,105,5
N20000543,NI data zone,463,2,7,0,1,0,24,12
N20000544,NI data zone,49,111,168,21,85,3,91,12
N20000545,NI data zone,27,68,134,29,88,2,101,1
N20000546,NI data zone,56,23,94,16,50,0,52,7
N20000547,NI data zone,58,72,129,32,126,2,121,7
N20000548,NI data zone,60,94,132,17,89,8,74,14
N20000549,NI data zone,48,115,193,32,129,7,109,7
N20000550,NI data zone,75,95,143,20,66,6,92,1
N20000551,NI data zone,45,124,210,30,111,10,79,14
N20000552,NI data zone,44,148,132,29,109,6,143,10
N20000553,NI data zone,74,146,173,26,146,15,125,6
N20000554,NI data zone,41,140,112,9,85,3,77,6
N20000555,NI data zone,17,127,141,24,70,3,125,6
N20000556,NI data zone,35,73,84,5,43,3,75,0
N20000557,NI data zone,18,115,139,13,69,1,80,7
N20000558,NI data zone,49,203,209,29,73,1,145,6
N20000559,NI data zone,13,133,127,37,60,4,85,4
N20000560,NI data zone,48,97,39,14,54,6,55,9
N20000561,NI data zone,53,190,214,42,117,8,151,1
N20000562,NI data zone,25,124,103,30,66,0,82,5
N20000563,NI data zone,173,163,79,15,120,5,137,9
N20000564,NI data zone,42,129,114,19,84,2,160,10
N20000565,NI data zone,96,110,116,17,73,5,148,7
N20000566,NI data zone,60,105,110,13,76,0,125,9
N20000567,NI data zone,35,163,180,43,109,2,147,6
N20000568,NI data zone,72,143,78,21,88,3,128,2
N20000569,NI data zone,128,131,200,10,95,3,109,7
N20000570,NI data zone,94,75,77,20,59,4,102,3
N20000571,NI data zone,108,158,93,7,81,6,161,5
N20000572,NI data zone,40,197,155,33,121,2,181,3
N20000573,NI data zone,113,115,154,21,84,14,217,9
N20000574,NI data zone,86,183,142,18,82,7,197,13
N20000575,NI data zone,62,147,113,15,109,6,136,6
N20000576,NI data zone,48,123,151,11,92,1,162,11
N20000577,NI data zone,49,162,69,8,65,2,130,3
N20000578,NI data zone,88,136,99,28,86,5,141,20
N20000579,NI data zone,54,206,100,14,92,12,118,12
N20000580,NI data zone,142,178,191,36,115,11,105,17
N20000581,NI data zone,15,71,124,37,40,0,126,9
N20000582,NI data zone,79,253,81,4,100,7,124,3
N20000583,NI data zone,62,187,88,23,78,2,68,9
N20000584,NI data zone,54,207,93,8,103,5,207,6
N20000585,NI data zone,77,156,84,9,79,2,65,10
N20000586,NI data zone,44,175,115,10,102,7,84,10
N20000587,NI data zone,76,255,76,7,128,10,190,10
N20000588,NI data zone,78,216,86,14,63,1,95,3
N20000589,NI data zone,16,197,77,3,51,2,106,5
N20000590,NI data zone,121,149,42,1,45,3,91,2
N20000591,NI data zone,86,190,33,2,74,6,55,4
N20000592,NI data zone,261,164,56,5,56,5,103,4
N20000593,NI data zone,146,275,47,6,57,3,70,5
N20000594,NI data zone,101,81,52,12,84,12,65,3
N20000595,NI data zone,210,91,102,22,80,5,102,4
N20000596,NI data zone,377,18,15,1,8,1,24,10
N20000597,NI data zone,199,31,23,2,10,5,65,1
N20000598,NI data zone,251,51,79,2,17,7,82,7
N20000599,NI data zone,86,118,89,15,55,2,118,8
N20000600,NI data zone,309,47,52,3,19,2,104,6
N20000601,NI data zone,161,53,95,3,32,13,85,4
N20000602,NI data zone,169,76,110,3,58,2,55,0
N20000603,NI data zone,97,137,133,13,71,12,119,24
N20000604,NI data zone,57,65,96,15,23,5,37,2
N20000605,NI data zone,242,63,32,6,16,0,31,1
N20000606,NI data zone,197,39,92,0,35,0,37,0
N20000607,NI data zone,90,71,59,7,18,1,56,3
N20000608,NI data zone,129,119,85,10,21,4,81,0
N20000609,NI data zone,240,144,97,7,29,13,101,1
N20000610,NI data zone,138,121,121,18,43,7,93,1
N20000611,NI data zone,130,70,79,16,22,3,87,4
N20000612,NI data zone,159,81,84,5,21,24,76,6
N20000613,NI data zone,95,62,57,10,33,2,66,4
N20000614,NI data zone,186,254,120,10,85,2,120,7
N20000615,NI data zone,183,41,57,0,10,9,104,6
N20000616,NI data zone,116,52,61,5,17,2,76,14
N20000617,NI data zone,117,45,75,7,20,3,61,2
N20000618,NI data zone,147,76,58,0,30,5,99,4
N20000619,NI data zone,233,33,23,5,18,4,73,2
N20000620,NI data zone,199,103,75,7,53,14,149,10
N20000621,NI data zone,381,116,94,2,48,4,150,7
N20000622,NI data zone,214,49,73,8,22,9,81,3
N20000623,NI data zone,148,122,66,16,45,0,125,6
N20000624,NI data zone,120,42,27,14,28,13,50,6
N20000625,NI data zone,240,49,44,2,36,14,137,7
N20000626,NI data zone,121,113,72,20,46,1,81,10
N20000627,NI data zone,206,90,84,3,34,0,98,11
N20000628,NI data zone,94,151,82,8,36,3,88,3
N20000629,NI data zone,97,103,116,5,76,4,55,18
N20000630,NI data zone,142,95,55,15,25,5,54,13
N20000631,NI data zone,121,88,66,5,16,14,62,3
N20000632,NI data zone,150,68,64,7,32,2,107,1
N20000633,NI data zone,75,111,86,13,30,7,77,5
N20000634,NI data zone,42,98,101,7,34,8,102,4
N20000635,NI data zone,222,155,85,15,52,4,110,3
N20000636,NI data zone,127,156,92,1,53,6,134,2
N20000637,NI data zone,124,143,100,15,51,7,126,8
N20000638,NI data zone,99,129,97,10,52,4,86,4
N20000639,NI data zone,135,105,136,11,53,8,82,1
N20000640,NI data zone,255,143,130,6,69,0,112,6
N20000641,NI data zone,244,147,74,12,57,13,165,15
N20000642,NI data zone,211,62,39,7,21,0,65,13
N20000643,NI data zone,196,114,70,18,32,0,92,5
N20000645,NI data zone,294,172,58,6,32,3,84,9
N20000646,NI data zone,286,60,75,5,44,7,73,6
N20000648,NI data zone,110,275,65,7,87,3,56,3
N20000649,NI data zone,291,187,85,6,132,5,64,7
N20000650,NI data zone,70,172,55,0,33,5,51,5
N20000651,NI data zone,485,119,28,2,45,4,65,13
N20000652,NI data zone,241,174,85,6,22,2,51,0
N20000653,NI data zone,243,248,42,4,79,2,67,3
N20000655,NI data zone,30,208,52,3,82,3,57,2
N20000656,NI data zone,52,125,25,2,46,6,44,2
N20000657,NI data zone,148,250,41,6,122,0,93,8
N20000658,NI data zone,138,232,43,1,40,3,43,5
N20000659,NI data zone,196,98,27,0,33,3,61,0
N20000660,NI data zone,183,194,53,2,62,10,62,11
N20000661,NI data zone,249,127,40,0,50,8,85,5
N20000662,NI data zone,176,132,44,2,51,1,56,1
N20000663,NI data zone,187,165,35,0,39,3,36,3
N20000766,NI data zone,245,7,3,0,7,26,36,1
N20000769,NI data zone,337,4,6,0,22,28,79,7
N20000771,NI data zone,340,3,7,1,14,9,34,9
N20000772,NI data zone,125,5,14,0,10,20,43,4
N20000773,NI data zone,382,5,10,1,12,1,11,3
N20000774,NI data zone,146,4,4,2,5,11,50,5
